Company,Customer,Contact,"Job Name","Quote Expire Date",Quote_Number,Note,approve_date
TOR,12756,87966,"29375 - Robinson Mortgages",06/20/2022,29375,"Arch Rep. N/A - ",04/21/2022
TOR,28376,60563,"29374 - Toronto Community Housing 50 Tor",06/20/2022,29374,"Anthony D'Alfonso - ",04/21/2022
TOR,10999,3283,"29373 - Metrolinx- 45 Overlea",06/20/2022,29373,"Arch Rep. N/A - ",04/21/2022
TOR,10997,12040,"29372 - Orchard Hub Community Room Renov",06/20/2022,29372,"Arch Rep. N/A - ",04/21/2022
TOR,12491,75700,"29371 - Canadian Tire Store Expansion & ",06/20/2022,29371,"Arch Rep. N/A - ",04/21/2022
TOR,11034,63288,"29370 - Multiplex The Quay",06/20/2022,29370,"Arch Rep. N/A - ",04/21/2022
TOR,12400,71540,"29369 - Orchard Hub Community Room Renov",06/20/2022,29369,"Arch Rep. N/A - ",04/21/2022
TOR,12385,84537,"29368 - Orchard Hub Community Room Renov",06/20/2022,29368,"Arch Rep. N/A - ",04/21/2022
TOR,12385,47778,"29367 - Morning Star Middle School",06/20/2022,29367,"Arch Rep. N/A - ",04/21/2022
TOR,12339,54692,"29366 - Canadian Tire Store Expansion & ",06/20/2022,29366,"Arch Rep. N/A - ",04/21/2022
TOR,12405,13014,"29365 - Alice Block Project",06/20/2022,29365,"Arch Rep. N/A - ",04/21/2022
