Company,Customer,Contact,"Job Name","Quote Expire Date",Quote_Number,Note,approve_date
TOR,27162,47779,"29515 - 250 Bridgeland",08/05/2022,29515,"Arch Rep. N/A - ",06/06/2022
TOR,10067,2947,"29514 - 160 Front Street West",08/05/2022,29514,"Anthony D'Alfonso - ",06/06/2022
TOR,11032,66793,"29513 - TD Bank - National Spec",08/05/2022,29513,"Kris George - ",06/06/2022
TOR,11623,85207,"29512 - NA ME RES Native Mens Housing To",08/05/2022,29512,"TORTEST Salesman 001 - ",06/06/2022
TOR,11013,78751,"29511 - Mcmaster University - AMC Phase ",08/05/2022,29511,"Arch Rep. N/A - ",06/06/2022
TOR,12385,84537,"29510 - DHL Express",08/05/2022,29510,"Arch Rep. N/A - ",06/06/2022
TOR,17956,36319,"29508 - Decatholon Fitout – Markville ",08/05/2022,29508,"Arch Rep. N/A - ",06/06/2022
TOR,12491,75700,"29507 - Decatholon Fitout – Markville ",08/05/2022,29507,"Arch Rep. N/A - ",06/06/2022
TOR,11623,57471,"29505 - DHL Express",08/05/2022,29505,"Arch Rep. N/A - ",06/06/2022
TOR,10925,62981,"29504 - TD Bank - National Spec",08/05/2022,29504,"Arch Rep. N/A - ",06/06/2022
TOR,15581,79237,"29503 - TD Bank - National Spec",08/05/2022,29503,"Kris George - ",06/06/2022
TOR,11047,72293,"29502 - TD Bank - National Spec",08/05/2022,29502,"Arch Rep. N/A - ",06/06/2022
TOR,12229,12150,"29501 - KFC & Taco Bell -  National Spec",08/05/2022,29501,"Kris George - ",06/06/2022
