Company,Customer,Contact,"Job Name","Quote Expire Date",Quote_Number,Note,approve_date
TOR,11003,47325,"32551 - Amica - Balmoral - Revitalizatio",05/29/2023,32551,"Marina Macri - ",03/30/2023
TOR,11034,63288,"32550 - Fieldgate 1200 Dundas",05/29/2023,32550,"Marina Macri - ",03/30/2023
TOR,36502,73794,"32549 - Fieldgate 1200 Dundas",05/29/2023,32549,"Marina Macri - ",03/30/2023
TOR,12339,54645,"32548 - TDSB Resilient Flooring 2023 Flo",05/29/2023,32548,"Arch Rep. N/A - ",03/30/2023
TOR,12491,75700,"32547 - Ecole Ronald-Marion Child Care a",05/29/2023,32547,"Elizabeth Livingston - ",03/30/2023
TOR,12491,75700,"32546 - Holland Landing PS YRDSC",05/29/2023,32546,"Elizabeth Livingston - ",03/30/2023
TOR,10999,3887,"32545 - Holland Landing PS YRDSC",05/29/2023,32545,"Elizabeth Livingston - ",03/30/2023
TOR,10889,45565,"32544 - Holland Landing PS YRDSC",05/29/2023,32544,"Elizabeth Livingston - ",03/30/2023
TOR,12385,47894,"32543 - Holland Landing PS YRDSC",05/29/2023,32543,"Elizabeth Livingston - ",03/30/2023
TOR,27162,90382,"32542 - Robert Bateman High School Burli",05/29/2023,32542,"Arch Rep. N/A - ",03/30/2023
TOR,28376,60563,"32541 - Ecole Ronald-Marion Child Care a",05/29/2023,32541,"Elizabeth Livingston - ",03/30/2023
