"Item ID","Unit Qty",UOM,Unit_Price,Quote_Number,"Sort ID",Note,approve_date
BST6308,1.00,SF,4.95,29260,1,"CT1 - OPTION 1 -SHOWROOM / SALES OFFICES / WASHROOM FLOOR / 2ND FLOOR AMMEN.",03/28/2022
BST6305,1.00,SF,4.95,29260,2,"CT2 - OPTION 1 -SHOWROOM / SALES OFFICES / WASHROOM FLOOR / 2ND FLOOR AMMEN.",03/28/2022
AJ69,1.00,SF,3.85,29260,3,"T10 - ACCENT TILE - RECEPTION & CUSTOMER LOUNGE FLOOR ",03/28/2022
TA55093925,1.00,EA,61.00,29260,4,"GR1 - GROUT",03/28/2022
TA55092925,1.00,EA,61.00,29260,5,"GR2 - GROUT",03/28/2022
TA55092725,1.00,EA,61.00,29260,6,"GR3 - GROUT",03/28/2022
TA55090825,1.00,EA,61.00,29260,7,"GR3 - GROUT",03/28/2022
TA382,1.00,EA,18.50,29260,8,"LARGE FORMAT FLOOR TILE MORTAR",03/28/2022
9424527,1.00,SF,4.19,29260,9,"CT-14 - 1.7 mm - Drive Through Reception Area",03/28/2022
BST6304,1.00,SF,4.95,29260,10,T-1,03/28/2022
CUS02FF1,1.00,CTN,117.00,29260,11,"Price: $2.00sf  - 36sf in a box",03/28/2022
PS3015L,1.00,EA,215.00,29260,12,"Coverage 250sf/4Litre",03/28/2022
A000,1.00,SYD,32.00,29260,13,"Forbo 6ft6 Nordstar Galaxy - #6703",03/28/2022
A000,1.00,EA,105.60,29260,14,"WB-1 & WB-2 - Roppe 4"" Pinnacle Base - $105.60 Ctn (120ft roll/Ctn)",03/28/2022
V8854G,1.00,EA,146.00,29260,15,"Coverage is 175sf/gallon",03/28/2022
BST6305LP,1.00,SF,4.95,29260,16,"CT-2, CWT-2",03/28/2022
BST6308LP,1.00,SF,4.95,29260,17,CT-1,03/28/2022
BST6304LP,1.00,SF,4.95,29260,18,,03/28/2022
349381224,1.00,SF,3.95,29260,19,"WT-16 - Washroom Floor Finish Tile - Option 1 - Matte Finish",03/28/2022
KPUSSR03N,1.00,SF,7.45,29260,20,"T-19 - Washroom Floor Finish Tile - Option 2 - Matte Finish",03/28/2022
349011224,1.00,SF,3.95,29260,21,"WT-1 - Washroom Wall Tile - Option 1 - Matte Finish",03/28/2022
KPUSP03N,1.00,SF,7.99,29260,22,"WT-13 - Washroom Wall Tile - Option 2 - Polished Finish",03/28/2022
PS00528N,1.00,SF,7.99,29260,23,"WT-12 - Washroom Wall Tile - Option 2 - Polished Finish",03/28/2022
GC012448N,1000.00,SF,7.99,29259,1,,03/28/2022
A000,200.00,SYD,23.48,29259,2,"Forbo 6ft6 Surestep Star 176922 Concrete",03/28/2022
A000,1.00,EA,31.18,29259,3,"Forbo 164lf Surestep Star Weldrod 176922 - $31.18 Per Roll",03/28/2022
GC012448N,1000.00,SF,7.99,29258,1,,03/28/2022
A000,200.00,SYD,23.48,29258,2,"Forbo 6ft6 Surestep Star 176922 Concrete",03/28/2022
A000,1.00,EA,31.18,29258,3,"Forbo 164lf Surestep Star Weldrod 176922 - $31.18 Per Roll",03/28/2022
