"Item ID","Unit Qty",UOM,Unit_Price,Quote_Number,"Sort ID",Note,approve_date
A000,1.00,SF,9.88,32910,1,"POR Centura - Ariostea - Ultra iCementi - Iron (600x1200mm) - UC65310422
",08/03/2023
A000,1.00,SF,9.88,32910,2,"POR Centura - Ariostea - Ultra iCementi - Iron (600x1200mm) - UC65310422
",08/03/2023
A000,1583.00,SF,6.80,32910,3,"PWT Centura - Mirage Glocal - Clear natural finish (600x1200mm)",08/03/2023
A000,1583.00,SF,6.80,32910,4,"PWT Centura - Mirage Glocal - Clear natural finish (600x1200mm)",08/03/2023
A000,1.00,LF,1.34,32910,5,"Roppe - TP 700 Series 6” not 100% rubber, 6” x 0.080” vinyl base (120lnft/carton) - Colour TBD",08/03/2023
A000,1.00,LF,1.34,32910,6,"Roppe - TP 700 Series 6” not 100% rubber, 6” x 0.080” vinyl base (120lnft/carton) - Colour TBD",08/03/2023
A000,1.00,LF,.69,32910,7,"Roppe 4"" Vinyl Cove Base (0.080"")",08/03/2023
A000,1.00,LF,.69,32910,8,"Roppe 4"" Vinyl Cove Base (0.080"")",08/03/2023
A000,10000.00,LF,20.50,32909,1,"Amtico Marathon One Piece Tread with V1 Strip (Price if shipped in 2023)",08/03/2023
A000,10000.00,LF,21.19,32909,2,"Amtico Marathon One Piece Tread with V1 Strip (Price if shipped in 2024)",08/03/2023
A000,6000.00,LF,7.23,32909,3,"Amtico 18"" Marathon Hammered Landing Tile ( Price if shipped in 2023)",08/03/2023
A000,6000.00,LF,7.47,32909,4,"Amtico 18"" Marathon Hammered Landing Tile ( Price if shipped in 2024)",08/03/2023
A000,6000.00,LF,6.50,32909,5,"Amtico 36"" Marathon Hammered Landing Tile ( Price if shipped in 2023)",08/03/2023
A000,6000.00,LF,6.73,32909,6,"Amtico 36"" Marathon Hammered Landing Tile ( Price if shipped in 2024)",08/03/2023
A000,1250.00,SF,1.83,32908,1,"Dura 6X48 Contract Vista - Color TBD (*Laurentian is no longer available* )",08/03/2023
A000,1250.00,SF,1.83,32908,2,"Dura 6X48 Contract Vista - Color TBD (*Laurentian is no longer available* )",08/03/2023
A000,1.00,SF,18.67,32908,3,"I Classici Staturaio 63x126 Bookmatch Glossy
",08/03/2023
A000,1.00,SF,18.67,32908,4,"I Classici Staturaio 63x126 Bookmatch Glossy
",08/03/2023
756427,1.00,SF,16.54,32908,5,"Qty TBD",08/03/2023
756427,1.00,SF,16.54,32908,6,"Qty TBD",08/03/2023
PE2005290,75.00,SF,14.76,32908,7,,08/03/2023
PE2005290,75.00,SF,14.76,32908,8,,08/03/2023
S210HON,35.00,SF,18.10,32908,9,,08/03/2023
S210HON,35.00,SF,18.10,32908,10,,08/03/2023
