"Item ID","Unit Qty",UOM,Unit_Price,Quote_Number,"Sort ID",Note,approve_date
CAAL1224MN,1.00,SF,3.99,32178,1,"WT1 - Qty TBD",11/23/2022
CAAL1224MN,1.00,SF,3.99,32178,2,"WT1 - Qty TBD",11/23/2022
A000,1.00,SF,4.89,32178,3,"WT2 - Mirage 12X24X9mm Lemmy Venom - Qty TBD",11/23/2022
A000,1.00,SF,4.89,32178,4,"WT2 - Mirage 12X24X9mm Lemmy Venom - Qty TBD",11/23/2022
A000,1.00,SF,5.79,32178,5,"WT3 - Mirage 24X24X9mm Lemmy Venom - Qty TBD",11/23/2022
A000,1.00,SF,5.79,32178,6,"WT3 - Mirage 24X24X9mm Lemmy Venom - Qty TBD",11/23/2022
A000,1.00,SF,5.00,32178,7,"WT5 - Mirage 12X24X9mm Lemmy Pumpkin  - Qty TBD",11/23/2022
A000,1.00,SF,5.00,32178,8,"WT5 - Mirage 12X24X9mm Lemmy Pumpkin  - Qty TBD",11/23/2022
CADA1224MN,1.00,SF,3.99,32178,9,"WT4 - Qty TBD",11/23/2022
CADA1224MN,1.00,SF,3.99,32178,10,"WT4 - Qty TBD",11/23/2022
CAAL1224MN,1.00,SF,3.99,32177,1,"WT1 - Qty TBD",11/23/2022
CAAL1224MN,1.00,SF,3.99,32177,2,"WT1 - Qty TBD",11/23/2022
A000,1.00,SF,4.89,32177,3,"WT2 - Mirage 12X24X9mm Lemmy Venom - Qty TBD",11/23/2022
A000,1.00,SF,4.89,32177,4,"WT2 - Mirage 12X24X9mm Lemmy Venom - Qty TBD",11/23/2022
A000,1.00,SF,5.79,32177,5,"WT3 - Mirage 24X24X9mm Lemmy Venom - Qty TBD",11/23/2022
A000,1.00,SF,5.79,32177,6,"WT3 - Mirage 24X24X9mm Lemmy Venom - Qty TBD",11/23/2022
A000,1.00,SF,5.00,32177,7,"WT5 - Mirage 12X24X9mm Lemmy Pumpkin  - Qty TBD",11/23/2022
A000,1.00,SF,5.00,32177,8,"WT5 - Mirage 12X24X9mm Lemmy Pumpkin  - Qty TBD",11/23/2022
CADA1224MN,1.00,SF,3.99,32177,9,"WT4 - Qty TBD",11/23/2022
CADA1224MN,1.00,SF,3.99,32177,10,"WT4 - Qty TBD",11/23/2022
