Company,Customer,Contact,"Job Name","Quote Expire Date",Quote_Number,Note,approve_date
TOR,36502,73794,"29448 - Darcon Promenade Park Towers A &",07/19/2022,29448,"Arch Rep. N/A - PRICES ARE GOOD FOR 60 DAYS, CENTURA WILL NOT HOLD ORDERS FOR LONG PERIODS AND PROTECT PRICES.",05/20/2022
TOR,36502,73794,"29447 - UOVO Condominium - Suite and Com",07/19/2022,29447,"Arch Rep. N/A - PRICES ARE GOOD FOR 60 DAYS, CENTURA WILL NOT HOLD ORDERS FOR LONG PERIODS AND PROTECT PRICES. ",05/20/2022
TOR,11985,3484,"29446 - Chris Gibson Recreation Centre B",07/19/2022,29446,"Arch Rep. N/A - ",05/20/2022
TOR,10987,69855,"29445 - Chris Gibson Recreation Centre B",07/19/2022,29445,"Arch Rep. N/A - ",05/20/2022
TOR,12441,47812,"29444 - Chris Gibson Recreation Centre B",07/19/2022,29444,"Arch Rep. N/A - ",05/20/2022
TOR,12441,83935,"29443 - SN Ambulance Service Bldg Phase ",07/19/2022,29443,"Arch Rep. N/A - ",05/20/2022
TOR,12385,73369,"29442 - SN Ambulance Service Bldg Phase ",07/19/2022,29442,"Arch Rep. N/A - ",05/20/2022
TOR,12483,16792,"29441 - Bramalea Civic Centre",07/19/2022,29441,"Arch Rep. N/A - ",05/20/2022
TOR,10693,14750,"29440 - Bramalea Civic Centre",07/19/2022,29440,"Anthony D'Alfonso - ",05/20/2022
TOR,12318,20550,"29439 - Westin Harbour Castle Guestrooms",07/18/2022,29439,"Arch Rep. N/A - ",05/20/2022
