"Item ID","Unit Qty",UOM,Unit_Price,Quote_Number,"Sort ID",Note,approve_date
5292,4000.00,SF,6.24,29428,1,,05/18/2022
5292,4000.00,SF,6.24,29428,2,,05/18/2022
NH6306,2200.00,SF,4.15,29428,3,,05/18/2022
NH6306,2200.00,SF,4.15,29428,4,,05/18/2022
VM360R,300.00,SF,6.33,29428,5,,05/18/2022
VM360R,300.00,SF,6.33,29428,6,,05/18/2022
LAR25847,1.00,SF,6.06,29428,7,"Qty TBD",05/18/2022
LAR25847,1.00,SF,6.06,29428,8,"Qty TBD",05/18/2022
A000,1.00,SF,4.15,29428,9,"Max 12X24 Urban Light Grey Polished",05/18/2022
A000,1.00,SF,4.15,29428,10,"Max 12X24 Urban Light Grey Polished",05/18/2022
5292,4000.00,SF,6.24,29427,1,,05/18/2022
5292,4000.00,SF,6.24,29427,2,,05/18/2022
NH6306,2200.00,SF,4.15,29427,3,,05/18/2022
NH6306,2200.00,SF,4.15,29427,4,,05/18/2022
VM360R,300.00,SF,6.33,29427,5,,05/18/2022
VM360R,300.00,SF,6.33,29427,6,,05/18/2022
LAR25847,1.00,SF,6.06,29427,7,"Qty TBD",05/18/2022
LAR25847,1.00,SF,6.06,29427,8,"Qty TBD",05/18/2022
A000,1.00,SYD,36.89,29426,1,"Forbo Sarlon Cement Acoustic Vinyl - Medium Grey Cement -572T4319",05/18/2022
A000,1.00,EA,37.50,29426,2,"Forbo Weldrod - 164 LF roll",05/18/2022
V8854G,1.00,EA,191.18,29426,3,"700sf/4Gal Coverage",05/18/2022
A000,1.00,SYD,36.89,29425,1,"Forbo Sarlon Cement Acoustic Vinyl - Medium Grey Cement -572T4319",05/18/2022
A000,1.00,EA,37.50,29425,2,"Forbo Weldrod - 164 LF roll",05/18/2022
V8854G,1.00,EA,191.18,29425,3,"700sf/4Gal Coverage",05/18/2022
5292,4000.00,SF,6.24,29424,1,,05/18/2022
5292,4000.00,SF,6.24,29424,2,,05/18/2022
NH6306,2200.00,SF,4.15,29424,3,,05/18/2022
NH6306,2200.00,SF,4.15,29424,4,,05/18/2022
VM360R,300.00,SF,6.33,29424,5,,05/18/2022
VM360R,300.00,SF,6.33,29424,6,,05/18/2022
5292,4000.00,SF,6.24,29423,1,,05/18/2022
5292,4000.00,SF,6.24,29423,2,,05/18/2022
NH6306,2200.00,SF,4.15,29423,3,,05/18/2022
NH6306,2200.00,SF,4.15,29423,4,,05/18/2022
VM360R,300.00,SF,6.33,29423,5,,05/18/2022
VM360R,300.00,SF,6.33,29423,6,,05/18/2022
A000,1.00,SF,2.35,29422,1,"Vitra -  300 X 300 X 10 mm  Dotti Light Grey Field",05/18/2022
A000,1.00,EA,4.76,29422,2,"Stair Nosing Tiles - Quarry Stone Gray 6”x6” BULLNOSE Q1665 - Qty TBD",05/18/2022
A000,1.00,SF,2.58,29422,3,"Vision 100  X 300 X 10 mm White Glossary - Ra19016",05/18/2022
A000,1.00,SF,3.54,29422,4,"Centura Design Positive Series Vert Pistache 01: 200 mm X  500 mm",05/18/2022
A000,1.00,SF,3.15,29422,5,"Vitra 12X24 Urbancrete - Color TBD (Alternative to Atlas 12x24 Seastone)",05/18/2022
AC37048,1.00,SF,4.78,29422,6,"Qty TBD",05/18/2022
AC31148,1.00,SF,4.78,29422,7,"Qty TBD",05/18/2022
TAWH1224MN,1.00,SF,4.25,29422,8,"Qty TBD ( alternative to Nustome GMR94M1224)",05/18/2022
K790605,1.00,SF,2.58,29422,9,"Qty TBD",05/18/2022
