Company,Customer,Contact,"Job Name","Quote Expire Date",Quote_Number,Note,approve_date
TOR,12347,1868,"29075 - Good Sheppard Retirement Home",04/30/2022,29075,"Arch Rep. N/A - ",02/03/2022
TOR,10693,44046,"29074 - Holy Rosary CES Renovations",04/04/2022,29074,"Arch Rep. N/A - ",02/03/2022
TOR,12441,47812,"29073 - Holy Rosary CES Renovations",04/04/2022,29073,"Arch Rep. N/A - ",02/03/2022
TOR,28376,60563,"29072 - Holy Rosary CES Renovations",04/04/2022,29072,"Arch Rep. N/A - ",02/03/2022
TOR,17956,36319,"29071 - York Region Locker Rooms and Lab",04/04/2022,29071,"Arch Rep. N/A - ",02/03/2022
TOR,14441,54940,"29069 - Volkswagen - National Spec",04/04/2022,29069,"Arch Rep. N/A - ",02/03/2022
TOR,27162,47779,"29068 - York Region Locker Rooms and Lab",04/04/2022,29068,"Arch Rep. N/A - ",02/03/2022
TOR,12400,71540,"29067 - Dixon Hall Heritage Home - 220 C",04/04/2022,29067,"Arch Rep. N/A - ",02/03/2022
TOR,12385,84537,"29066 - Dixon Hall Heritage Home - 220 C",04/04/2022,29066,"Arch Rep. N/A - ",02/03/2022
TOR,12491,75700,"29065 - Dixon Hall Heritage Home - 220 C",04/04/2022,29065,"Arch Rep. N/A - ",02/03/2022
TOR,28376,60563,"29064 - Streetlight Ministires - Hamilto",04/04/2022,29064,"Arch Rep. N/A - ",02/03/2022
TOR,12292,1822,"29063 - York Region Locker Rooms and Lab",04/04/2022,29063,"Arch Rep. N/A - ",02/03/2022
TOR,11040,2608,"29062 - KFC & Taco Bell -  National Spec",04/04/2022,29062,"Kris George - ",02/03/2022
