"Item ID","Unit Qty",UOM,Unit_Price,Quote_Number,"Sort ID",Note,approve_date
GC061224,2000.00,SF,5.42,29756,1,"305mm x 610mm - TL01-S (1,3) ",08/03/2022
GC061224,2000.00,SF,5.42,29756,2,"305mm x 610mm - TL01-S (1,3) ",08/03/2022
DOWH1224,9250.00,SF,4.95,29756,3,"305mm x 610mm - TL01-S (2,4) ",08/03/2022
DOWH1224,9250.00,SF,4.95,29756,4,"305mm x 610mm - TL01-S (2,4) ",08/03/2022
MBM1304,19000.00,SF,4.59,29756,5,"35mm x 76mm Thcikness: 6mm - TL02-S (1,3) ",08/03/2022
MBM1304,19000.00,SF,4.59,29756,6,"35mm x 76mm Thcikness: 6mm - TL02-S (1,3) ",08/03/2022
MBM1301,1.00,SF,4.19,29756,7,"25mm x 76mm Thcikness: 6mm - TL02-S (2,4) ",08/03/2022
MBM1301,1.00,SF,4.19,29756,8,"25mm x 76mm Thcikness: 6mm - TL02-S (2,4) ",08/03/2022
EV13666,3000.00,SF,4.47,29756,9,"50mm x 406mm - TL03-S (3)",08/03/2022
EV13666,3000.00,SF,4.47,29756,10,"50mm x 406mm - TL03-S (3)",08/03/2022
EV14007,3000.00,SF,4.25,29756,11,"50mm x 406mm - TL03-S (4)",08/03/2022
EV14007,3000.00,SF,4.25,29756,12,"50mm x 406mm - TL03-S (4)",08/03/2022
A000,1.00,CTN,108.00,29755,1,"Roppe 4X120ft Pinnacle Rubber Cove - Color TBD - Roll 120Ft",08/03/2022
VM360R,1.00,SF,5.29,29755,2,,08/03/2022
TA650927F25,1.00,EA,23.00,29755,3,,08/03/2022
VMB600R,1.00,PC,13.49,29755,4,"Coem 3 1/2"" x24"" Valmalenco Battiscopa - Special Order - Minimum 8 Weeks ETA",08/03/2022
NH6306,1.00,SF,4.59,29755,5,"Qty TBD",08/03/2022
VM603R,1.00,SF,5.29,29755,6,,08/03/2022
BI367R,1.00,SF,4.59,29755,7,,08/03/2022
LAR25847,1.00,SF,5.89,29755,8,"Qty TBD",08/03/2022
5292,1.00,SF,7.79,29755,9,"Qty TBD",08/03/2022
JW02P1224,1.00,SF,9.99,29755,10,"Qty TBD",08/03/2022
CRB6302,1.00,SF,6.49,29754,1,FT1,08/03/2022
GC081224,1.00,SF,5.19,29754,2,"Replacement for Max 12x24 Lumina Taupe Matte - FT1",08/03/2022
GMR98M1224N,1.00,SF,6.05,29754,3,FT3,08/03/2022
36T28NR,1.00,SF,5.75,29754,4,"Replacement for Niro 12x24 Nustone Antracite Mat - FT3",08/03/2022
AJ69N,1.00,SF,14.27,29754,5,,08/03/2022
NH6300,1.00,SF,6.34,29754,6,WT1,08/03/2022
ICEBLMO,1.00,PC,13.32,29754,7,"WT 2/3",08/03/2022
ME14246,1.00,SF,5.65,29754,8,,08/03/2022
