"Item ID","Unit Qty",UOM,Unit_Price,Quote_Number,"Sort ID",Note,approve_date
A000,915.00,SF,2.54,32819,1,"POR: Cement Block 12x24 -  *Alternate for Mayfair*",06/29/2023
A000,915.00,SF,2.54,32819,2,"POR: Cement Block 12x24 -  *Alternate for Mayfair*",06/29/2023
A000,1.00,SF,2.51,32819,3,"Rainbow 4x16 Glossy or Matte - White, Alabasater - Qty TBD",06/29/2023
A000,1.00,SF,2.51,32819,4,"Rainbow 4x16 Glossy or Matte - White, Alabasater - Qty TBD",06/29/2023
A000,1.00,SF,2.68,32819,5,"Rainbow 4x16 Glossy or Matte - Denim, Silk, Slate Blue - Qty TBD",06/29/2023
A000,1.00,SF,2.68,32819,6,"Rainbow 4x16 Glossy or Matte - Denim, Silk, Slate Blue - Qty TBD",06/29/2023
A000,1.00,SF,3.07,32819,7,"Rainbow 4x16 Glossy or Matte - Fog, Gunmental, Limen, Ocean Blue, Sage, Turquoise - Qty TBD",06/29/2023
A000,1.00,SF,3.07,32819,8,"Rainbow 4x16 Glossy or Matte - Fog, Gunmental, Limen, Ocean Blue, Sage, Turquoise - Qty TBD",06/29/2023
A000,1.00,SF,3.41,32819,9,"Rainbow 4x16 Glossy or Matte - Black, Spice, Red - Qty TBD",06/29/2023
A000,1.00,SF,3.41,32819,10,"Rainbow 4x16 Glossy or Matte - Black, Spice, Red - Qty TBD",06/29/2023
A000,1.00,SF,2.45,32819,11,"Vitra Vision 4x12 Matte White, Light Grey, Ultra White
",06/29/2023
A000,1.00,SF,2.45,32819,12,"Vitra Vision 4x12 Matte White, Light Grey, Ultra White
",06/29/2023
A000,1.00,SF,3.12,32819,13,"Vitra Vision 4x12 Grey, Dark Grey, Anthracite, Black - Qty TBD
",06/29/2023
A000,1.00,SF,3.12,32819,14,"Vitra Vision 4x12 Grey, Dark Grey, Anthracite, Black - Qty TBD
",06/29/2023
LOGRG5,1.00,SF,4.49,32818,1,"CT-3 COUNTER BACKWALL",06/29/2023
LOGRG5,1.00,SF,4.49,32818,2,"CT-3 COUNTER BACKWALL",06/29/2023
NH1406,1.00,SF,3.50,32818,3,"CT-1 WASHROOM WALL/FRONT WALL",06/29/2023
NH1406,1.00,SF,3.50,32818,4,"CT-1 WASHROOM WALL/FRONT WALL",06/29/2023
LOBBL0,1.00,SF,4.49,32818,5,"FRONT OF HOUSE WALL",06/29/2023
LOBBL0,1.00,SF,4.49,32818,6,"FRONT OF HOUSE WALL",06/29/2023
TA620910W25,1.00,EA,23.00,32818,7,"CT1 / CT2 / CT3A / GT1 / GT2",06/29/2023
TA620910W25,1.00,EA,23.00,32818,8,"CT1 / CT2 / CT3A / GT1 / GT2",06/29/2023
TA650973F25,1.00,EA,23.00,32818,9,CT4,06/29/2023
TA650973F25,1.00,EA,23.00,32818,10,CT4,06/29/2023
TA650961F25,1.00,EA,23.00,32818,11,CT5,06/29/2023
TA650961F25,1.00,EA,23.00,32818,12,CT5,06/29/2023
MO00613,1.00,SF,5.89,32818,13,"WT4 & BT1 (BT has been replaced with replaced with BT1)",06/29/2023
MO00613,1.00,SF,5.89,32818,14,"WT4 & BT1 (BT has been replaced with replaced with BT1)",06/29/2023
LOROR3,1.00,SF,7.29,32818,15,WT6,06/29/2023
LOROR3,1.00,SF,7.29,32818,16,WT6,06/29/2023
LOBLBB,1.00,SF,5.39,32818,17,WT7,06/29/2023
LOBLBB,1.00,SF,5.39,32818,18,WT7,06/29/2023
MKG29,1.00,SF,14.09,32818,19,,06/29/2023
MKG29,1.00,SF,14.09,32818,20,,06/29/2023
CT01898,1.00,SF,5.39,32818,21,,06/29/2023
CT01898,1.00,SF,5.39,32818,22,,06/29/2023
J85886,1.00,SF,9.99,32818,23,"Qty TBD",06/29/2023
J85886,1.00,SF,9.99,32818,24,"Qty TBD",06/29/2023
03201,1.00,SF,9.19,32818,25,WT-5,06/29/2023
03201,1.00,SF,9.19,32818,26,WT-5,06/29/2023
AC3586,1.00,SF,4.49,32818,27,"Qty TBD",06/29/2023
AC3586,1.00,SF,4.49,32818,28,"Qty TBD",06/29/2023
AC370RTC,1.00,PC,3.50,32818,29,"Qty TBD",06/29/2023
AC370RTC,1.00,PC,3.50,32818,30,"Qty TBD",06/29/2023
TA650929F25,1.00,EA,23.00,32818,31,,06/29/2023
TA650929F25,1.00,EA,23.00,32818,32,,06/29/2023
K947086R,1.00,SF,5.17,32817,1,"FL1 - Qty TBD",06/29/2023
K947086R,1.00,SF,5.17,32817,2,"FL1 - Qty TBD",06/29/2023
K947235R,1.00,SF,6.93,32817,3,"FL6 - Qty TBD",06/29/2023
K947235R,1.00,SF,6.93,32817,4,"FL6 - Qty TBD",06/29/2023
