"Item ID","Unit Qty",UOM,Unit_Price,Quote_Number,"Sort ID",Note,approve_date
A000,1.00,CTN,108.00,32762,1,"Roppe 4X120ft Pinnacle Rubber Cove - Color TBD - Roll 120Ft",06/16/2023
A000,1.00,CTN,108.00,32762,2,"Roppe 4X120ft Pinnacle Rubber Cove - Color TBD - Roll 120Ft",06/16/2023
VM360R,1.00,SF,5.59,32762,3,,06/16/2023
VM360R,1.00,SF,5.59,32762,4,,06/16/2023
TA650927F25,1.00,EA,23.00,32762,5,,06/16/2023
TA650927F25,1.00,EA,23.00,32762,6,,06/16/2023
VMB600R,1.00,PC,14.19,32762,7,"Coem 3 1/2"" x24"" Valmalenco Battiscopa - Special Order - Minimum 8 Weeks ETA",06/16/2023
VMB600R,1.00,PC,14.19,32762,8,"Coem 3 1/2"" x24"" Valmalenco Battiscopa - Special Order - Minimum 8 Weeks ETA",06/16/2023
NH6306,1.00,SF,4.59,32762,9,"Qty TBD",06/16/2023
NH6306,1.00,SF,4.59,32762,10,"Qty TBD",06/16/2023
VM603R,1.00,SF,5.29,32762,11,,06/16/2023
VM603R,1.00,SF,5.29,32762,12,,06/16/2023
BI367R,1.00,SF,4.89,32762,13,,06/16/2023
BI367R,1.00,SF,4.89,32762,14,,06/16/2023
LAR25847,1.00,SF,5.89,32762,15,"Qty TBD",06/16/2023
LAR25847,1.00,SF,5.89,32762,16,"Qty TBD",06/16/2023
5292,1.00,SF,7.79,32762,17,"Qty TBD",06/16/2023
5292,1.00,SF,7.79,32762,18,"Qty TBD",06/16/2023
HEWHITEN,1.00,PC,11.19,32762,19,"Qty TBD",06/16/2023
HEWHITEN,1.00,PC,11.19,32762,20,"Qty TBD",06/16/2023
A000,1.00,CTN,106.22,32761,1,"Roppe Contours
 Roppe 3” 3/8” PV3060 #60 Candid (8’ pcs, 5 pcs/ctn, full boxes only)
",06/16/2023
A000,1.00,CTN,106.22,32761,2,"Roppe Contours
 Roppe 3” 3/8” PV3060 #60 Candid (8’ pcs, 5 pcs/ctn, full boxes only)
",06/16/2023
A000,1.00,CTN,106.22,32761,3,"Roppe Contours
 Roppe 3” 3/8” PV3060 #60 Candid (8’ pcs, 5 pcs/ctn, full boxes only)
",06/16/2023
A000,1.00,CTN,106.22,32761,4,"Roppe Contours
 Roppe 3” 3/8” PV3060 #60 Candid (8’ pcs, 5 pcs/ctn, full boxes only)
",06/16/2023
A000,1.00,CTN,195.01,32761,5,"Roppe Contours - 4-1/4” 3/8” PV4060 #60 Candid  (8’ pcs, 6 pcs/ctn, full boxes only)",06/16/2023
A000,1.00,CTN,195.01,32761,6,"Roppe Contours - 4-1/4” 3/8” PV4060 #60 Candid  (8’ pcs, 6 pcs/ctn, full boxes only)",06/16/2023
A000,1.00,CTN,195.01,32761,7,"Roppe Contours - 4-1/4” 3/8” PV4060 #60 Candid  (8’ pcs, 6 pcs/ctn, full boxes only)",06/16/2023
A000,1.00,CTN,195.01,32761,8,"Roppe Contours - 4-1/4” 3/8” PV4060 #60 Candid  (8’ pcs, 6 pcs/ctn, full boxes only)",06/16/2023
A000,1.00,SF,3.56,32761,9,"Six Degrees 7 1/8” x 47 1/4” RP 236-C13:",06/16/2023
A000,1.00,SF,3.56,32761,10,"Six Degrees 7 1/8” x 47 1/4” RP 236-C13:",06/16/2023
A000,1.00,SF,3.56,32761,11,"Six Degrees 7 1/8” x 47 1/4” RP 236-C13:",06/16/2023
A000,1.00,SF,3.56,32761,12,"Six Degrees 7 1/8” x 47 1/4” RP 236-C13:",06/16/2023
K948816,800.00,SF,3.81,32760,1,,06/16/2023
K948816,800.00,SF,3.81,32760,2,,06/16/2023
K948816,800.00,SF,3.81,32759,1,,06/16/2023
K948816,800.00,SF,3.81,32759,2,,06/16/2023
A000,690.00,SF,4.39,32758,1,"Costa Nova Plain Field colors only 2” x 8”",06/16/2023
A000,690.00,SF,4.39,32758,2,"Costa Nova Plain Field colors only 2” x 8”",06/16/2023
K947307R,1300.00,SF,3.58,32757,1,,06/16/2023
K947307R,1300.00,SF,3.58,32757,2,,06/16/2023
K947307R,1300.00,SF,3.58,32757,3,,06/16/2023
K947307R,1300.00,SF,3.58,32757,4,,06/16/2023
K794260,100.00,SF,3.65,32757,5,,06/16/2023
K794260,100.00,SF,3.65,32757,6,,06/16/2023
K794260,100.00,SF,3.65,32757,7,,06/16/2023
K794260,100.00,SF,3.65,32757,8,,06/16/2023
A000,48.00,SF,5.24,32757,9,"Rainbow - Black Matte - 2"" x 8""",06/16/2023
A000,48.00,SF,5.24,32757,10,"Rainbow - Black Matte - 2"" x 8""",06/16/2023
A000,48.00,SF,5.24,32757,11,"Rainbow - Black Matte - 2"" x 8""",06/16/2023
A000,48.00,SF,5.24,32757,12,"Rainbow - Black Matte - 2"" x 8""",06/16/2023
GC081224,400.00,SF,4.29,32756,1,,06/16/2023
A000,690.00,SF,4.39,32755,1,"Costa Nova Plain Field colors only 2” x 8”",06/16/2023
A000,690.00,SF,4.39,32755,2,"Costa Nova Plain Field colors only 2” x 8”",06/16/2023
A000,690.00,SF,4.39,32754,1,"Costa Nova Plain Field colors only 2” x 8”",06/16/2023
A000,690.00,SF,4.39,32754,2,"Costa Nova Plain Field colors only 2” x 8”",06/16/2023
A000,1.00,CTN,106.22,32752,1,"Roppe Contours
 Roppe 3” 3/8” PV3060 #60 Candid (8’ pcs, 5 pcs/ctn, full boxes only)
",06/16/2023
A000,1.00,CTN,106.22,32752,2,"Roppe Contours
 Roppe 3” 3/8” PV3060 #60 Candid (8’ pcs, 5 pcs/ctn, full boxes only)
",06/16/2023
A000,1.00,CTN,195.01,32752,3,"Roppe Contours - 4-1/4” 3/8” PV4060 #60 Candid  (8’ pcs, 6 pcs/ctn, full boxes only)",06/16/2023
A000,1.00,CTN,195.01,32752,4,"Roppe Contours - 4-1/4” 3/8” PV4060 #60 Candid  (8’ pcs, 6 pcs/ctn, full boxes only)",06/16/2023
A000,1.00,SF,3.56,32752,5,"Six Degrees 7 1/8” x 47 1/4” RP 236-C13:",06/16/2023
A000,1.00,SF,3.56,32752,6,"Six Degrees 7 1/8” x 47 1/4” RP 236-C13:",06/16/2023
