"Item ID","Unit Qty",UOM,Unit_Price,Quote_Number,"Sort ID",Note,approve_date
SV310RN,2054.00,SF,3.59,32955,1,,08/21/2023
SV310RN,2054.00,SF,3.59,32955,2,,08/21/2023
SV310RN,2054.00,SF,3.59,32955,3,,08/21/2023
SV310RN,2054.00,SF,3.59,32955,4,,08/21/2023
RV366R,315.00,SF,4.69,32955,5,,08/21/2023
RV366R,315.00,SF,4.69,32955,6,,08/21/2023
RV366R,315.00,SF,4.69,32955,7,,08/21/2023
RV366R,315.00,SF,4.69,32955,8,,08/21/2023
A000,600.00,SF,3.99,32954,1,"2.5""x8"" Artisan Alabaster Glossy",08/21/2023
A000,1.00,SF,4.99,32954,2,"1.5cmx13cm FES Coprispigolo Nero glossy - Qty: 30 SFt",08/21/2023
A000,1.00,SF,3.69,32954,3,"Equipe 3X16 (2.5""x16"") Country - Mist Green and Blanco - Qty TBD",08/21/2023
A000,1.00,SF,3.99,32954,4,"Equipe 3X16 (2.5""x16"") Country - Antracite - Qty TBD",08/21/2023
5292,1.00,SF,4.99,32954,5,"Qty TBD",08/21/2023
5126,1.00,SF,4.99,32954,6,"Qty TBD",08/21/2023
5145,800.00,SF,4.99,32954,7,"Qty TBD",08/21/2023
HL0003,1.00,SF,4.22,32954,8,"Qty TBD",08/21/2023
MCP501,1.00,SF,3.69,32954,9,"Qty TBD",08/21/2023
MBU22105,1.00,SF,3.70,32953,1,"Qty TBD",08/21/2023
MBU22105,1.00,SF,3.70,32953,2,,08/21/2023
A000,1.00,SF,2.48,32953,3,"Vitra Dotti 12x12 (Dark Grey, Light Grey, Light Beige, Ivory)",08/21/2023
A000,1.00,SF,4.65,32953,4,"Glocal 12x24 (GC01, GC02, GC04, GC09)",08/21/2023
A000,1.00,SF,4.78,32953,5,"Glocal 12x24 (GC03, GC05, GC06, GC07, GC08, GC10)",08/21/2023
A000,1.00,SF,5.42,32953,6,"Glocal 24x24 (GC01, GC02, GC04, GC09)",08/21/2023
A000,1.00,SF,5.55,32953,7,"Glocal 24x24 (GC03, GC05, GC06, GC07, GC08, GC10)",08/21/2023
A000,1.00,SF,3.41,32953,8,"Ceppostone 24x24 (all colours)",08/21/2023
A000,1.00,SF,4.22,32953,9,"Etic 6x36 (all colours)",08/21/2023
A000,1.00,SF,4.66,32953,10,"Slash 3x12 (all colours)",08/21/2023
A000,1.00,SF,4.23,32953,11,"American Biltrite Mirra Wood - Qty TBD",08/21/2023
A000,2600.00,SF,2.54,32953,12,"CWT2 300x600, Matt finish Cement Block",08/21/2023
MBU22104,1.00,SF,3.53,32953,13,"Qty TBD",08/21/2023
MBU2215,1.00,SF,3.48,32953,14,"Qty TBD",08/21/2023
MBU2229,1.00,SF,3.48,32953,15,"Qty TBD",08/21/2023
MBU2214,1.00,SF,3.60,32953,16,"Qty TBD",08/21/2023
MBU2217,1.00,SF,4.55,32953,17,"Qty TBD",08/21/2023
MBU2216,1.00,SF,3.53,32953,18,"Qty TBD",08/21/2023
MBU22103,1.00,SF,4.32,32953,19,"Qty TBD",08/21/2023
KST9651525,1.00,EA,129.19,32952,1,"Qty TBD",08/21/2023
KST9651525,1.00,EA,129.19,32952,2,"Qty TBD",08/21/2023
KST12201525,1.00,EA,194.05,32952,3,"Qty TBD",08/21/2023
KST12201525,1.00,EA,194.05,32952,4,"Qty TBD",08/21/2023
KST12201830,1.00,EA,198.10,32952,5,"Qty TBD",08/21/2023
KST12201830,1.00,EA,198.10,32952,6,"Qty TBD",08/21/2023
KST1525,1.00,EA,255.50,32952,7,"Qty TBD",08/21/2023
KST1525,1.00,EA,255.50,32952,8,"Qty TBD",08/21/2023
KST1830,1.00,EA,274.77,32952,9,"Qty TBD",08/21/2023
KST1830,1.00,EA,274.77,32952,10,"Qty TBD",08/21/2023
KST1220BF,1.00,EA,119.13,32952,11,"Qty TBD",08/21/2023
KST1220BF,1.00,EA,119.13,32952,12,"Qty TBD",08/21/2023
KST965BF,1.00,EA,104.22,32952,13,"Qty TBD",08/21/2023
KST965BF,1.00,EA,104.22,32952,14,"Qty TBD",08/21/2023
KD2ABSE,1.00,EA,112.57,32952,15,"Qty TBD",08/21/2023
KD2ABSE,1.00,EA,112.57,32952,16,"Qty TBD",08/21/2023
KERDI200,1.00,SF,1.65,32952,17,"Qty TBD",08/21/2023
KERDI200,1.00,SF,1.65,32952,18,"Qty TBD",08/21/2023
CEW02LF1,1.00,CTN,119.50,32951,1,"36 Sft/ Ctn - Sold by Full Cartons Only",08/21/2023
CEW02LF1,1.00,CTN,119.50,32951,2,"36 Sft/ Ctn - Sold by Full Cartons Only",08/21/2023
CT00209,1.00,SF,5.59,32951,3,"Qty TBD",08/21/2023
CT00209,1.00,SF,5.59,32951,4,"Qty TBD",08/21/2023
CT01903,1.00,SF,5.59,32951,5,"Qty TBD",08/21/2023
CT01903,1.00,SF,5.59,32951,6,"Qty TBD",08/21/2023
CT03818,1.00,SF,5.59,32951,7,"Qty TBD",08/21/2023
CT03818,1.00,SF,5.59,32951,8,"Qty TBD",08/21/2023
TA650939F25,1.00,EA,23.00,32951,9,"Qty TBD",08/21/2023
TA650939F25,1.00,EA,23.00,32951,10,"Qty TBD",08/21/2023
K790605,1.00,SF,2.64,32950,1,"Qty TBD",08/21/2023
K790605,1.00,SF,2.64,32950,2,"Qty TBD",08/21/2023
EV12482,1.00,SF,4.18,32950,3,"Qty TBD",08/21/2023
EV12482,1.00,SF,4.18,32950,4,"Qty TBD",08/21/2023
K794223,1.00,SF,2.45,32950,5,"QTY TBD",08/21/2023
K794223,1.00,SF,2.45,32950,6,"QTY TBD",08/21/2023
MBU22105,1.00,SF,3.41,32950,7,"Qty TBD",08/21/2023
MBU22105,1.00,SF,3.41,32950,8,"Qty TBD",08/21/2023
MBU2215,1.00,SF,2.92,32950,9,"Qty TBD",08/21/2023
MBU2215,1.00,SF,2.92,32950,10,"Qty TBD",08/21/2023
MBU2214,1.00,SF,3.04,32950,11,"Qty TBD",08/21/2023
MBU2214,1.00,SF,3.04,32950,12,"Qty TBD",08/21/2023
MBU2217,1.00,SF,3.99,32950,13,"Qty TBD",08/21/2023
MBU2217,1.00,SF,3.99,32950,14,"Qty TBD",08/21/2023
MBU22103,1.00,SF,3.76,32950,15,"Qty TBD",08/21/2023
MBU22103,1.00,SF,3.76,32950,16,"Qty TBD",08/21/2023
K790605,1.00,SF,2.64,32949,1,"Qty TBD",08/21/2023
K790605,1.00,SF,2.64,32949,2,"Qty TBD",08/21/2023
EV12482,1.00,SF,4.18,32949,3,"Qty TBD",08/21/2023
EV12482,1.00,SF,4.18,32949,4,"Qty TBD",08/21/2023
K794223,1.00,SF,2.45,32949,5,"QTY TBD",08/21/2023
K794223,1.00,SF,2.45,32949,6,"QTY TBD",08/21/2023
MBU22105,1.00,SF,3.41,32949,7,"Qty TBD",08/21/2023
MBU22105,1.00,SF,3.41,32949,8,"Qty TBD",08/21/2023
MBU2215,1.00,SF,2.92,32949,9,"Qty TBD",08/21/2023
MBU2215,1.00,SF,2.92,32949,10,"Qty TBD",08/21/2023
MBU2214,1.00,SF,3.04,32949,11,"Qty TBD",08/21/2023
MBU2214,1.00,SF,3.04,32949,12,"Qty TBD",08/21/2023
MBU2217,1.00,SF,3.99,32949,13,"Qty TBD",08/21/2023
MBU2217,1.00,SF,3.99,32949,14,"Qty TBD",08/21/2023
MBU22103,1.00,SF,3.76,32949,15,"Qty TBD",08/21/2023
MBU22103,1.00,SF,3.76,32949,16,"Qty TBD",08/21/2023
K790605,1.00,SF,2.64,32948,1,"Qty TBD",08/21/2023
K790605,1.00,SF,2.64,32948,2,"Qty TBD",08/21/2023
