"Item ID","Unit Qty",UOM,Unit_Price,Quote_Number,"Sort ID",Note,approve_date
A000,2251.00,SF,2.43,29978,1,"Vitra Dotti 12x12 (dark grey, ivory, light beige, light grey",09/26/2022
A000,700.00,SF,5.42,29977,1,"Global 12X 24 ( 300x600) - Color TBD",09/26/2022
A000,600.00,SF,2.86,29977,2,"Rainbow 4X8  (100X400) Group 1 Colours",09/26/2022
A000,600.00,SF,3.22,29977,3,"Rainbow 4X8  (100X400) Group 2 Colours",09/26/2022
A000,600.00,SF,3.56,29977,4,"Rainbow 4X8  (100X400) Group 3 Colours",09/26/2022
A000,1.00,SF,4.38,29977,5,"Argile 65X250 - Color TBD - Qty TBD",09/26/2022
A000,1.00,SF,5.99,29977,6,"Centura Penny Round Mosaic - 300mm x 300mm sheet. - All Colours (except Orange/red) Qty TBD",09/26/2022
A000,1.00,SF,8.49,29977,7,"Centura Penny Round Mosaic - 300mm x 300mm sheet. - Price for Orange/red - Qty TBD",09/26/2022
