Company,Customer,Contact,"Job Name","Quote Expire Date",Quote_Number,Note,approve_date
TOR,28376,60563,"32298 - Holy Cross Catholic SS Interior ",02/17/2023,32298,"Arch Rep. N/A - ",12/19/2022
TOR,15581,80071,"32297 - JLL - 121 King Concourse",02/17/2023,32297,"Elizabeth Livingston - ",12/19/2022
TOR,27162,90382,"32296 - Holy Cross Catholic SS Interior ",02/17/2023,32296,"Arch Rep. N/A - ",12/19/2022
TOR,27162,90382,"32295 - New Fire Station 125 Constructio",02/17/2023,32295,"Elizabeth Livingston - ",12/19/2022
TOR,37918,76943,"32293 - Holy Cross Catholic SS Interior ",02/17/2023,32293,"Anthony D'Alfonso - ",12/19/2022
TOR,11225,61050,"32292 - Oben Flats - 2280 Eglinton Ave W",02/17/2023,32292,"Mattia Di Pietro - ",12/19/2022
TOR,10693,69215,"32291 - New Fire Station 125 Constructio",02/17/2023,32291,"Elizabeth Livingston - ",12/19/2022
TOR,12491,75700,"32290 - Holy Cross Catholic SS Interior ",02/17/2023,32290,"Arch Rep. N/A - ",12/19/2022
TOR,10693,69215,"32289 - Oben Flats - 2280 Eglinton Ave W",02/17/2023,32289,"Mattia Di Pietro - ",12/19/2022
TOR,23499,78135,"32288 - Holy Cross Catholic SS Interior ",02/17/2023,32288,"Arch Rep. N/A - ",12/19/2022
TOR,27361,63042,"32247 - New Fire Station 125 Constructio",02/10/2023,32247,"Elizabeth Livingston - ",12/19/2022
