Company,Customer,Contact,"Job Name","Quote Expire Date",Quote_Number,Note,approve_date
TOR,15581,77331,"32526 - Madison Group Head Office",05/21/2023,32526,"Elizabeth Livingston - ",03/22/2023
TOR,12533,58484,"32525 - Ecole Ronald-Marion Child Care a",05/21/2023,32525,"Elizabeth Livingston - ",03/22/2023
TOR,17956,36319,"32524 - Woodbine Go Station - Metrolinx ",05/21/2023,32524,"Elizabeth Livingston - ",03/22/2023
TOR,11032,62889,"32523 - TD Bank - National Spec",05/20/2023,32523,"Kris George - ",03/21/2023
TOR,12500,1975,"32522 - TD Bank - National Spec",05/20/2023,32522,"Kris George - ",03/21/2023
TOR,11014,40559,"32521 - Oak Village Project",05/20/2023,32521,"Robin Ma - ",03/21/2023
TOR,40919,83768,"32520 - KFC & Taco Bell -  National Spec",05/20/2023,32520,"Kris George - ",03/21/2023
TOR,42735,87146,"32519 - TD Bank - National Spec",05/20/2023,32519,"Kris George - ",03/21/2023
