Company,Customer,Contact,"Job Name","Quote Expire Date",Quote_Number,Note,approve_date
TOR,12491,75700,"32955 - Ontario Finnish Resthome Associa",10/20/2023,32955,"Anthony D'Alfonso - ",08/21/2023
TOR,12318,7681,"32954 - Highland Commons - Military Trai",10/20/2023,32954,"Robin Ma - ",08/21/2023
TOR,10693,69215,"32953 - St. Kateri Tekakwitha C.S.S.",10/20/2023,32953,"Arch Rep. N/A - ",08/21/2023
TOR,12451,3298,"32952 - Remington Triple Crown",10/20/2023,32952,"Arch Rep. N/A - ",08/21/2023
TOR,10981,31450,"32951 - Rogers Communications - National",10/20/2023,32951,"Kris George - ",08/21/2023
TOR,15581,80071,"32950 - Elliott Community - 170 Metcalfe",10/20/2023,32950,"Arch Rep. N/A - ",08/21/2023
TOR,11040,2608,"32949 - Elliott Community - 170 Metcalfe",10/20/2023,32949,"Arch Rep. N/A - ",08/21/2023
TOR,11032,2273,"32948 - Elliott Community - 170 Metcalfe",10/20/2023,32948,"Arch Rep. N/A - ",08/21/2023
TOR,12491,75700,"32947 - Elliott Community - 170 Metcalfe",10/20/2023,32947,"Arch Rep. N/A - ",08/21/2023
TOR,37918,76943,"32946 - Elliott Community - 170 Metcalfe",10/20/2023,32946,"Arch Rep. N/A - ",08/21/2023
TOR,11014,48501,"32945 - Angelo Moran Project",10/20/2023,32945,"Arch Rep. N/A - ",08/21/2023
