Company,Customer,Contact,"Job Name","Quote Expire Date",Quote_Number,Note,approve_date
TOR,10999,3887,"29531 - Vinfast Auto - National Spec",08/06/2022,29531,"Kris George - ",06/07/2022
TOR,10981,74873,"29530 - Metro - National Spec",08/06/2022,29530,"Arch Rep. N/A - ",06/07/2022
TOR,10719,3896,"29529 - Metro - National Spec",08/06/2022,29529,"Arch Rep. N/A - ",06/07/2022
TOR,12385,73369,"29528 - Halo Car Wash",08/06/2022,29528,"Arch Rep. N/A - ",06/07/2022
TOR,42025,85975,"29527 - KFC & Taco Bell -  National Spec",08/06/2022,29527,"Anthony D'Alfonso - ",06/07/2022
TOR,11047,72293,"29525 - Decatholon Fitout – Markville ",08/06/2022,29525,"Anthony D'Alfonso - ",06/07/2022
TOR,29270,77307,"29524 - Peel Family Shelter -2420 Survey",08/06/2022,29524,"Anthony D'Alfonso - ",06/07/2022
TOR,12400,71540,"29523 - Peel Family Shelter -2420 Survey",08/06/2022,29523,"Arch Rep. N/A - ",06/07/2022
TOR,11010,49926,"29522 - Peel Family Shelter -2420 Survey",08/06/2022,29522,"Arch Rep. N/A - ",06/07/2022
TOR,40919,83768,"29521 - Vinfast Auto - National Spec",08/06/2022,29521,"Kris George - ",06/07/2022
TOR,28678,70785,"29520 - Block 299 - Mattamy Homes",08/06/2022,29520,"Arch Rep. N/A - ",06/07/2022
TOR,12491,75700,"29519 - Metro - National Spec",08/06/2022,29519,"Arch Rep. N/A - ",06/07/2022
TOR,17956,36319,"29518 - Vinfast Auto - National Spec",08/06/2022,29518,"Kris George - ",06/07/2022
TOR,11003,62076,"29517 - DHL Express",08/06/2022,29517,"Arch Rep. N/A - ",06/07/2022
TOR,12405,1907,"29516 - NA ME RES Native Mens Housing To",08/06/2022,29516,"Arch Rep. N/A - ",06/07/2022
TOR,36502,73794,"29468 - UOVO Condominium - Suite and Com",07/26/2022,29468,"Arch Rep. N/A - -  LEAD TIME IS 10 WEEKS FROM DAY OF ORDER (SUBJECT TO SHIPPING /CONTAINER  PROBLEMS)
- QUOTE EXPIRES IN 90 DAYS 
- MATERIAL MUST BE TAKEN IN REASONABLE PERIOS AS OUTLINED BY MURRAY CLARK AND ROSS KELTIE.
- CENTURA CANNOT AND WILL NOT BE ABLE TO HOLF MATERIAL AND PRICES INDEFINITELY AS OUTLINED BY MURRAY CLARK AND ROSS KELTIE",06/07/2022
