"Item ID","Unit Qty",UOM,Unit_Price,Quote_Number,"Sort ID",Note,approve_date
BI362R,1.00,SF,4.44,32479,1,"Qty TBD",02/27/2023
BI362R,1.00,SF,4.44,32479,2,"Qty TBD",02/27/2023
A000,436.00,SF,19.57,32478,1,"3000x1500x6mm Ultra Iridium Nero Black Soft U165300357 ",02/27/2023
A000,436.00,SF,19.57,32478,2,"3000x1500x6mm Ultra Iridium Nero Black Soft U165300357 ",02/27/2023
GC0224,1.00,SF,5.99,32477,1,"Qty TBD",02/27/2023
UN01794,1.00,SF,12.40,32477,2,"QTY TBD",02/27/2023
RV603R,4500.00,SF,5.39,32475,1,TL-02A,02/27/2023
RV363R,500.00,SF,4.90,32475,2,TL-02B,02/27/2023
R8HM00,450.00,SF,6.69,32475,3,TL-04,02/27/2023
R8HQ00,450.00,SF,6.69,32475,4,TL-04,02/27/2023
766340,550.00,SF,5.78,32475,5,"TL-05 - Eta 6-8 weeks",02/27/2023
GC0224,1.00,SF,5.99,32473,1,"Qty TBD",02/27/2023
GC0224,1.00,SF,5.99,32473,2,"Qty TBD",02/27/2023
UN01794,1.00,SF,12.40,32473,3,"QTY TBD",02/27/2023
UN01794,1.00,SF,12.40,32473,4,"QTY TBD",02/27/2023
