Company,Customer,Contact,"Job Name","Quote Expire Date",Quote_Number,Note,approve_date
TOR,12491,65585,"32762 - TD Bank - National Spec",08/15/2023,32762,"Kris George - ",06/16/2023
TOR,28376,60563,"32761 - Three Oaks Business Centre",08/15/2023,32761,"Anthony D'Alfonso - ",06/16/2023
TOR,10997,12040,"32760 - Georgia College main Entrance Or",08/15/2023,32760,"Elizabeth Livingston - ",06/16/2023
TOR,12400,71540,"32759 - Georgia College main Entrance Or",08/15/2023,32759,"Elizabeth Livingston - ",06/16/2023
TOR,12385,47894,"32758 - Community Food Centres - Nationa",08/15/2023,32758,"Elizabeth Livingston - ",06/16/2023
TOR,11034,63288,"32757 - Melloul Blamey - 900 King",08/15/2023,32757,"Arch Rep. N/A - ",06/16/2023
TOR,12558,89138,"32756 - City of Peterborough Firestation",08/15/2023,32756,"Arch Rep. N/A - ",06/16/2023
TOR,11032,63031,"32755 - Community Food Centres - Nationa",08/15/2023,32755,"Cara Silvestri - ",06/16/2023
TOR,29423,73206,"32754 - Community Food Centres - Nationa",08/15/2023,32754,"Cara Silvestri - ",06/16/2023
TOR,11003,90421,"32752 - Three Oaks Business Centre",08/15/2023,32752,"Elizabeth Livingston - ",06/16/2023
