"Item ID","Unit Qty",UOM,Unit_Price,Quote_Number,"Sort ID",Note,approve_date
FL416WG,2800.00,SF,2.51,33056,1,,09/26/2023
FL416WG,2800.00,SF,2.51,33056,2,,09/26/2023
AGIS1224M,1.00,SF,5.95,33054,1,"T2: PIEMME 12X24 AGELESS ISLAND NAT  ( PROPOSAL CODE: J2201AGE15 )",09/26/2023
AGIS1224M,1.00,SF,5.95,33054,2,"T2: PIEMME 12X24 AGELESS ISLAND NAT  ( PROPOSAL CODE: J2201AGE15 )",09/26/2023
AGIS1224P,1.00,SF,6.95,33054,3,"T1: PIEMME 12X24 AGELESS ISLAND RET POL  ( PROPOSAL CODE: J2201AGE19)",09/26/2023
AGIS1224P,1.00,SF,6.95,33054,4,"T1: PIEMME 12X24 AGELESS ISLAND RET POL  ( PROPOSAL CODE: J2201AGE19)",09/26/2023
AGAF1224M,1.00,SF,5.95,33054,5,"T6: PIEMME 12X24 AGELESS AFRICA RECT NAT  ( PROPOSAL CODE: J2201AGE13 )",09/26/2023
AGAF1224M,1.00,SF,5.95,33054,6,"T6: PIEMME 12X24 AGELESS AFRICA RECT NAT  ( PROPOSAL CODE: J2201AGE13 )",09/26/2023
AGAF1224P,1.00,SF,6.95,33054,7,"T3: PIEMME 12X24 AGELESS AFRICA RET POL  ( PROPOSAL CODE: J2201AGE18 )",09/26/2023
AGAF1224P,1.00,SF,6.95,33054,8,"T3: PIEMME 12X24 AGELESS AFRICA RET POL  ( PROPOSAL CODE: J2201AGE18 )",09/26/2023
GV050L,1.00,SF,4.75,33054,9,"T5: ASCOT 10X30 LUMEN RED LUX  ( PROPOSAL CODE: J2201ALUM)",09/26/2023
GV050L,1.00,SF,4.75,33054,10,"T5: ASCOT 10X30 LUMEN RED LUX  ( PROPOSAL CODE: J2201ALUM)",09/26/2023
MBM1339,1.00,SF,5.25,33054,11,"T7: BASIC MOSAÏQUE - AXL - CENTURA - 12 PO X 12 PO X 5 MM - CHARCOAL - 8MM( PROPOSAL CODE: J2211339 )",09/26/2023
MBM1339,1.00,SF,5.25,33054,12,"T7: BASIC MOSAÏQUE - AXL - CENTURA - 12 PO X 12 PO X 5 MM - CHARCOAL - 8MM( PROPOSAL CODE: J2211339 )",09/26/2023
MBM1304,1.00,SF,5.25,33054,13,"T8: BASIC MOSAÏQUE - AXL - CENTURA - 12 PO X 12 PO X 5 MM - NOIR - 8MM (PROPOSAL CODE: J2211304 )",09/26/2023
MBM1304,1.00,SF,5.25,33054,14,"T8: BASIC MOSAÏQUE - AXL - CENTURA - 12 PO X 12 PO X 5 MM - NOIR - 8MM (PROPOSAL CODE: J2211304 )",09/26/2023
K835335,1.00,SF,2.95,33054,15,"T4: DOTTI - AN0 - CENTURA - 8 PO X 8 PO X 7 MM - 13-07 - GRIS - 8MM  (PROPOSAL CODE: J2201D335 )",09/26/2023
K835335,1.00,SF,2.95,33054,16,"T4: DOTTI - AN0 - CENTURA - 8 PO X 8 PO X 7 MM - 13-07 - GRIS - 8MM  (PROPOSAL CODE: J2201D335 )",09/26/2023
DCV648MILO,1.00,CTN,71.64,33054,17,"V1: CENTURA 6X48 DURA CONTRACT VISTA MILO 18pc= 36sf/ctn ( PROPOSAL CODE: J2201DCVM) Price:$1.99SFT",09/26/2023
DCV648MILO,1.00,CTN,71.64,33054,18,"V1: CENTURA 6X48 DURA CONTRACT VISTA MILO 18pc= 36sf/ctn ( PROPOSAL CODE: J2201DCVM) Price:$1.99SFT",09/26/2023
TA7744G,1.00,EA,158.60,33054,19,"Coverage- Porous 125-175 sf/gal 1/16X1/16X1/16 square-notch - Non-Porous 175-250 sf/gal 1/16X1/32X1/32 U-notch - Cushion-backed or fiber glass sheet vinyl/smooth backed vinyl or non-PVC carpet tile 3/8 nap roller 250-350 sf/gal",09/26/2023
TA7744G,1.00,EA,158.60,33054,20,"Coverage- Porous 125-175 sf/gal 1/16X1/16X1/16 square-notch - Non-Porous 175-250 sf/gal 1/16X1/32X1/32 U-notch - Cushion-backed or fiber glass sheet vinyl/smooth backed vinyl or non-PVC carpet tile 3/8 nap roller 250-350 sf/gal",09/26/2023
K835593,1.00,SF,2.95,33054,21,"835593 DOTTI - 12 PO X 12 PO X 7 MM - GRI",09/26/2023
K835593,1.00,SF,2.95,33054,22,"835593 DOTTI - 12 PO X 12 PO X 7 MM - GRI",09/26/2023
TA383,1.00,EA,21.89,33054,23,,09/26/2023
TA383,1.00,EA,21.89,33054,24,,09/26/2023
TA55094125,1.00,EA,62.20,33054,25,,09/26/2023
TA55094125,1.00,EA,62.20,33054,26,,09/26/2023
TA55091025,1.00,EA,62.20,33054,27,,09/26/2023
TA55091025,1.00,EA,62.20,33054,28,,09/26/2023
TA55093425,1.00,EA,62.20,33054,29,,09/26/2023
TA55093425,1.00,EA,62.20,33054,30,,09/26/2023
AGAF24,1.00,SF,6.50,33054,31,"T201: (PROPOSAL CODE / CODE DE PROPOSITION: J2201AGEA24N)",09/26/2023
AGAF24,1.00,SF,6.50,33054,32,"T201: (PROPOSAL CODE / CODE DE PROPOSITION: J2201AGEA24N)",09/26/2023
AGIS24,1.00,SF,6.50,33054,33,"T205: (PROPOSAL CODE / CODE DE PROPOSITION: J2201AGEI24N)",09/26/2023
AGIS24,1.00,SF,6.50,33054,34,"T205: (PROPOSAL CODE / CODE DE PROPOSITION: J2201AGEI24N)",09/26/2023
AGIS24P,1.00,SF,7.95,33054,35,"T206: (PROPOSAL CODE / CODE DE PROPOSITION:J2201AGEI24P)",09/26/2023
AGIS24P,1.00,SF,7.95,33054,36,"T206: (PROPOSAL CODE / CODE DE PROPOSITION:J2201AGEI24P)",09/26/2023
TA55092725,1.00,EA,62.20,33054,37,,09/26/2023
TA55092725,1.00,EA,62.20,33054,38,,09/26/2023
DITRA30M,1.00,SF,1.44,33054,39,,09/26/2023
DITRA30M,1.00,SF,1.44,33054,40,,09/26/2023
SETA50G,1.00,EA,33.89,33054,41,,09/26/2023
SETA50G,1.00,EA,33.89,33054,42,,09/26/2023
SETA50W,1.00,EA,35.85,33054,43,,09/26/2023
SETA50W,1.00,EA,35.85,33054,44,,09/26/2023
TA458,1.00,EA,34.34,33054,45,,09/26/2023
TA458,1.00,EA,34.34,33054,46,,09/26/2023
