"Item ID","Unit Qty",UOM,Unit_Price,Quote_Number,"Sort ID",Note,approve_date
59427,1.00,SF,3.04,32551,1,"bathroom suite options",03/30/2023
59427,1.00,SF,3.04,32551,2,"bathroom suite options",03/30/2023
59429,1.00,SF,3.04,32551,3,"bathroom suite option",03/30/2023
59429,1.00,SF,3.04,32551,4,"bathroom suite option",03/30/2023
A000,800.00,SF,3.50,32551,5,"Termal- Edition white natural finish 12x24 -  priced by RK",03/30/2023
A000,800.00,SF,3.50,32551,6,"Termal- Edition white natural finish 12x24 -  priced by RK",03/30/2023
A000,220.00,SF,3.50,32551,7,"Centura 12” x 24” reproduction of Magis- approved by Tomas Pearce - priced by RK",03/30/2023
A000,220.00,SF,3.50,32551,8,"Centura 12” x 24” reproduction of Magis- approved by Tomas Pearce - priced by RK",03/30/2023
A000,320.00,SF,5.63,32551,9,"Centura 12” x 24” Jewels / Elegant White matte  no longer available.-  
replaced with Rex- Les Origines- Ombre- Doree 12x24 natural",03/30/2023
A000,320.00,SF,5.63,32551,10,"Centura 12” x 24” Jewels / Elegant White matte  no longer available.-  
replaced with Rex- Les Origines- Ombre- Doree 12x24 natural",03/30/2023
635Y1R,300.00,SF,6.60,32551,11,"special order product and ETA is 8-10 weeks",03/30/2023
635Y1R,300.00,SF,6.60,32551,12,"special order product and ETA is 8-10 weeks",03/30/2023
HER24950,606.00,SF,5.20,32550,1,"TL-2 ",03/30/2023
HER24950,606.00,SF,5.20,32550,2,"TL-2 ",03/30/2023
HER24950,606.00,SF,5.20,32550,3,"TL-2 ",03/30/2023
HER24950,606.00,SF,5.20,32550,4,"TL-2 ",03/30/2023
AR24473N,197.00,SF,8.46,32550,5,"TL-5 - Special Order Colour",03/30/2023
AR24473N,197.00,SF,8.46,32550,6,"TL-5 - Special Order Colour",03/30/2023
AR24473N,197.00,SF,8.46,32550,7,"TL-5 - Special Order Colour",03/30/2023
AR24473N,197.00,SF,8.46,32550,8,"TL-5 - Special Order Colour",03/30/2023
6058,1403.00,SF,5.78,32550,9,"TL-6 ",03/30/2023
6058,1403.00,SF,5.78,32550,10,"TL-6 ",03/30/2023
6058,1403.00,SF,5.78,32550,11,"TL-6 ",03/30/2023
6058,1403.00,SF,5.78,32550,12,"TL-6 ",03/30/2023
J85886,651.00,SF,5.50,32550,13,"TL-7 ",03/30/2023
J85886,651.00,SF,5.50,32550,14,"TL-7 ",03/30/2023
J85886,651.00,SF,5.50,32550,15,"TL-7 ",03/30/2023
J85886,651.00,SF,5.50,32550,16,"TL-7 ",03/30/2023
J85888,180.00,SF,5.50,32550,17,"TL-8 ",03/30/2023
J85888,180.00,SF,5.50,32550,18,"TL-8 ",03/30/2023
J85888,180.00,SF,5.50,32550,19,"TL-8 ",03/30/2023
J85888,180.00,SF,5.50,32550,20,"TL-8 ",03/30/2023
6059,85.00,SF,5.17,32550,21,TL-11,03/30/2023
6059,85.00,SF,5.17,32550,22,TL-11,03/30/2023
6059,85.00,SF,5.17,32550,23,TL-11,03/30/2023
6059,85.00,SF,5.17,32550,24,TL-11,03/30/2023
738710,361.00,SF,5.28,32550,25,TL-12,03/30/2023
738710,361.00,SF,5.28,32550,26,TL-12,03/30/2023
738710,361.00,SF,5.28,32550,27,TL-12,03/30/2023
738710,361.00,SF,5.28,32550,28,TL-12,03/30/2023
HER24950,606.00,SF,5.20,32549,1,"TL-2 ",03/30/2023
HER24950,606.00,SF,5.20,32549,2,"TL-2 ",03/30/2023
AR24473N,197.00,SF,8.46,32549,3,"TL-5 - Special Order Colour",03/30/2023
AR24473N,197.00,SF,8.46,32549,4,"TL-5 - Special Order Colour",03/30/2023
6058,1403.00,SF,5.78,32549,5,"TL-6 ",03/30/2023
6058,1403.00,SF,5.78,32549,6,"TL-6 ",03/30/2023
J85886,651.00,SF,5.50,32549,7,"TL-7 ",03/30/2023
J85886,651.00,SF,5.50,32549,8,"TL-7 ",03/30/2023
J85888,180.00,SF,5.50,32549,9,"TL-8 ",03/30/2023
J85888,180.00,SF,5.50,32549,10,"TL-8 ",03/30/2023
6059,85.00,SF,5.17,32549,11,TL-11,03/30/2023
6059,85.00,SF,5.17,32549,12,TL-11,03/30/2023
738710,361.00,SF,5.28,32549,13,TL-12,03/30/2023
738710,361.00,SF,5.28,32549,14,TL-12,03/30/2023
A000,1.00,SYD,24.58,32548,1,"Forbo Sphera Element - Color TBD",03/30/2023
A000,1.00,SF,1.81,32548,2,"Dura Contract Vista 2.5mm - Color TBD",03/30/2023
A000,1.00,SF,3.75,32548,3,"Centura Allure Flex .55/4mm - Qty TBD",03/30/2023
A000,1.00,SHT,15.82,32548,4,"Amtico Marathon Raised round MCR 35-11/16 x 35-11/16 $62.56sheet 17-13/16 x 17-13/16",03/30/2023
A000,1.00,SHT,17.52,32548,5,"Amtico Marathon Slate 35-11/16 x 35-11/16 $68.18sheet 17-13/16 x 17-13/16 ",03/30/2023
A000,1.00,SYD,40.61,32548,6,"Dura Multisport 6ft 5mm",03/30/2023
A000,1.00,SYD,25.99,32548,7,"Forbo Sure Step original",03/30/2023
A000,1.00,SYD,27.70,32548,8,"Venture Nylon 50x50cm - Color TBD",03/30/2023
A000,1.00,LF,16.34,32548,9,"Amtico Marathon 1pcs Stair Tread and Riser",03/30/2023
A000,1.00,LF,21.25,32548,10,"Amtico Marathon 1pcs stair tread and Riser visually impaired",03/30/2023
A000,1.00,LF,.92,32548,11,"Roppe 700 series - Color TBD",03/30/2023
A000,1739.00,SF,4.63,32547,1,"Casalgrande Meteor Padana  - 12x24 & 12x12 9mm (Grafite, Noce) Matt finish",03/30/2023
A000,1739.00,SF,4.63,32547,2,"Casalgrande Meteor Padana  - 12x24 & 12x12 9mm (Grafite, Noce) Matt finish",03/30/2023
