"Item ID","Unit Qty",UOM,Unit_Price,Quote_Number,"Sort ID",Note,approve_date
A000,350.00,SF,48.99,32055,1,"Mirage Jewels Custom Suit Geometric (This is a speciality tile that is tailored made to a specific drawing) PLEASE NOTE: ORDERS THAT ARE LESS THAN 35 SFT, ARE CHARGED AN EXTRA $400.00",10/27/2022
A000,350.00,SF,48.99,32055,2,"Mirage Jewels Custom Suit Geometric (This is a speciality tile that is tailored made to a specific drawing) PLEASE NOTE: ORDERS THAT ARE LESS THAN 35 SFT, ARE CHARGED AN EXTRA $400.00",10/27/2022
A000,350.00,SF,48.99,32054,1,"Mirage Jewels Custom Suit Geometric (This is a speciality tile that is tailored made to a specific drawing) PLEASE NOTE: ORDERS THAT ARE LESS THAN 35 SFT, ARE CHARGED AN EXTRA $400.00",10/27/2022
A000,350.00,SF,48.99,32054,2,"Mirage Jewels Custom Suit Geometric (This is a speciality tile that is tailored made to a specific drawing) PLEASE NOTE: ORDERS THAT ARE LESS THAN 35 SFT, ARE CHARGED AN EXTRA $400.00",10/27/2022
RR0124,450.00,SF,13.97,32053,1,"CT-01 ",10/27/2022
RR0124,450.00,SF,13.97,32053,2,"CT-01 ",10/27/2022
SUBL,215.00,SF,4.79,32053,3,"CT-05 ",10/27/2022
SUBL,215.00,SF,4.79,32053,4,"CT-05 ",10/27/2022
SULIBL,110.00,SF,4.79,32053,5,CT-07,10/27/2022
SULIBL,110.00,SF,4.79,32053,6,CT-07,10/27/2022
A000,350.00,SF,48.99,32052,1,"Mirage Jewels Custom Suit Geometric (This is a speciality tile that is tailored made to a specific drawing) PLEASE NOTE: ORDERS THAT ARE LESS THAN 35 SFT, ARE CHARGED AN EXTRA $400.00",10/27/2022
A000,350.00,SF,48.99,32052,2,"Mirage Jewels Custom Suit Geometric (This is a speciality tile that is tailored made to a specific drawing) PLEASE NOTE: ORDERS THAT ARE LESS THAN 35 SFT, ARE CHARGED AN EXTRA $400.00",10/27/2022
A000,1800.00,SF,3.25,29811,1,"PFT-1- Floor Tile - Cement Mix - Flake Light Grey 24x24",10/27/2022
A000,75.00,SF,7.83,29811,2,"CT-1 - Penny Round-Rainy Sky -11.5x12” ",10/27/2022
A000,40.00,SF,7.83,29811,3,"CT-2 - Penny Round - Porcelain Blue -11.5x12”",10/27/2022
