"Item ID","Unit Qty",UOM,Unit_Price,Quote_Number,"Sort ID",Note,approve_date
A000,1.00,CTN,108.00,32751,1,"Roppe 4X120ft Pinnacle Rubber Cove - Color TBD - Roll 120Ft",06/15/2023
A000,1.00,CTN,108.00,32751,2,"Roppe 4X120ft Pinnacle Rubber Cove - Color TBD - Roll 120Ft",06/15/2023
VM360R,1.00,SF,5.59,32751,3,,06/15/2023
VM360R,1.00,SF,5.59,32751,4,,06/15/2023
TA650927F25,1.00,EA,23.00,32751,5,,06/15/2023
TA650927F25,1.00,EA,23.00,32751,6,,06/15/2023
VMB600R,1.00,PC,14.19,32751,7,"Coem 3 1/2"" x24"" Valmalenco Battiscopa - Special Order - Minimum 8 Weeks ETA",06/15/2023
VMB600R,1.00,PC,14.19,32751,8,"Coem 3 1/2"" x24"" Valmalenco Battiscopa - Special Order - Minimum 8 Weeks ETA",06/15/2023
NH6306,1.00,SF,4.59,32751,9,"Qty TBD",06/15/2023
NH6306,1.00,SF,4.59,32751,10,"Qty TBD",06/15/2023
VM603R,1.00,SF,5.29,32751,11,,06/15/2023
VM603R,1.00,SF,5.29,32751,12,,06/15/2023
BI367R,1.00,SF,4.89,32751,13,,06/15/2023
BI367R,1.00,SF,4.89,32751,14,,06/15/2023
LAR25847,1.00,SF,5.89,32751,15,"Qty TBD",06/15/2023
LAR25847,1.00,SF,5.89,32751,16,"Qty TBD",06/15/2023
5292,1.00,SF,7.79,32751,17,"Qty TBD",06/15/2023
5292,1.00,SF,7.79,32751,18,"Qty TBD",06/15/2023
HEWHITEN,1.00,PC,11.19,32751,19,"Qty TBD",06/15/2023
HEWHITEN,1.00,PC,11.19,32751,20,"Qty TBD",06/15/2023
SPWH1224GF7,1740.00,SF,3.12,32750,1,"CT-2 - Replaces: Centura Urban Max 12” x 24” - White Glossy",06/15/2023
MBU2215,90.00,SF,7.08,32750,2,CT-3,06/15/2023
SPWH1224GF7,1740.00,SF,3.12,32749,1,"CT-2 - Replaces: Centura Urban Max 12” x 24” - White Glossy",06/15/2023
MBU2215,90.00,SF,7.08,32749,2,CT-3,06/15/2023
SPWH1224GF7,1740.00,SF,3.12,32748,1,"CT-2 - Replaces: Centura Urban Max 12” x 24” - White Glossy",06/15/2023
MBU2215,90.00,SF,7.08,32748,2,CT-3,06/15/2023
SPWH1224GF7,1740.00,SF,3.12,32747,1,"CT-2 - Replaces: Centura Urban Max 12” x 24” - White Glossy",06/15/2023
SPWH1224GF7,1740.00,SF,3.12,32747,2,"CT-2 - Replaces: Centura Urban Max 12” x 24” - White Glossy",06/15/2023
MBU2215,90.00,SF,7.08,32747,3,CT-3,06/15/2023
MBU2215,90.00,SF,7.08,32747,4,CT-3,06/15/2023
SPWH1224GF7,1740.00,SF,3.12,32746,1,"CT-2 - Replaces: Centura Urban Max 12” x 24” - White Glossy",06/15/2023
MBU2215,90.00,SF,7.08,32746,2,CT-3,06/15/2023
SPWH1224GF7,1740.00,SF,3.12,32745,1,"CT-2 - Replaces: Centura Urban Max 12” x 24” - White Glossy",06/15/2023
MBU2215,90.00,SF,7.08,32745,2,CT-3,06/15/2023
