Company,Customer,Contact,"Job Name","Quote Expire Date",Quote_Number,Note,approve_date
TOR,12410,1911,"32245 - ATG - Against the Grain",02/07/2023,32245,"Arch Rep. N/A - ",12/09/2022
TOR,11000,48240,"32244 - JLL - 121 King Concourse",02/07/2023,32244,"Elizabeth Livingston - ",12/09/2022
TOR,28376,60563,"32242 - CAMH 250 College 9th & 10th Floo",02/07/2023,32242,"Carm Mancini - ",12/09/2022
TOR,12339,38636,"32241 - BGIS LAS 8th Floor Fit Up",02/07/2023,32241,"Elizabeth Livingston - ",12/09/2022
TOR,17956,36319,"32240 - BGIS LAS 8th Floor Fit Up",02/07/2023,32240,"Elizabeth Livingston - ",12/09/2022
TOR,10981,84572,"32239 - Honda - National - Concessionnai",02/07/2023,32239,"Arch Rep. N/A - ",12/09/2022
TOR,10997,12040,"32238 - Holy Cross Catholic SS Interior ",02/07/2023,32238,"Arch Rep. N/A - ",12/09/2022
TOR,10907,2753,"32237 - CAMH 250 College 9th & 10th Floo",02/07/2023,32237,"Arch Rep. N/A - ",12/09/2022
TOR,10966,1377,"32236 - Scotiabank Arena Phase 1",02/07/2023,32236,"Carm Mancini - ",12/09/2022
TOR,12339,38636,"32235 - Holy Cross Catholic SS Interior ",02/07/2023,32235,"Arch Rep. N/A - ",12/09/2022
TOR,12400,71540,"32234 - Holy Cross Catholic SS Interior ",02/07/2023,32234,"Arch Rep. N/A - ",12/09/2022
