"Item ID","Unit Qty",UOM,Unit_Price,Quote_Number,"Sort ID",Note,approve_date
J85888,500.00,SF,6.47,29256,1,,03/25/2022
J85888,500.00,SF,6.47,29256,2,,03/25/2022
LIST48,4000.00,SF,4.30,29255,1,"only comes in 6.5mm thick - special order and non-cancelable.",03/25/2022
LIST24,4000.00,SF,4.30,29255,2,,03/25/2022
A000,1.00,SF,4.99,29254,1,"Vitra 2x2 Dotti ivory 2x2 R10B",03/25/2022
A000,1.00,SF,5.72,29254,2,"Vitra 2x2 Uni Super White R10B",03/25/2022
A000,1.00,SF,5.38,29254,3,"Vitra 2x2 Uni Black R10B",03/25/2022
A000,1.00,SF,3.92,29254,4,"Vitra 2x2 Urban Putty",03/25/2022
A000,61.00,SYD,31.50,28523,1,"Forbo 6ft6 (6feet 6' x 82 Feet) Safestep R11 - Color TBD",03/25/2022
A000,1.00,EA,33.00,28523,2,"Weldrod 164lf Per Roll - $33.00 Roll",03/25/2022
A000,500.00,SYD,27.50,28523,3,"Forbo 6ft6 (6feet 6' x 82 Feet)  Sphera Evolution",03/25/2022
A000,1.00,LF,.90,28523,4,"Roppe 4” cove base - Color TBD - $0.88 Ft x 120 Lft box + 105.60",03/25/2022
FRT9504G,1.00,EA,275.00,28523,5,"175 sf/gal coverage",03/25/2022
4EX600,1.00,EA,85.00,28523,6,"720 - 1360 sf/pail coverage",03/25/2022
