Company,Customer,Contact,"Job Name","Quote Expire Date",Quote_Number,Note,approve_date
TOR,27162,90382,"32175 - Bartley Road Development",01/21/2023,32175,"Arch Rep. N/A - ",11/22/2022
TOR,10988,68577,"32174 - Toromont Manufacturing Plant –",01/21/2023,32174,"Elizabeth Livingston - ",11/22/2022
TOR,12292,1822,"32173 - TCHC 341 Bloor Street West",01/21/2023,32173,"Carm Mancini - ",11/22/2022
TOR,12400,71540,"32172 - TCHC 341 Bloor Street West",01/21/2023,32172,"Carm Mancini - ",11/22/2022
TOR,11034,63288,"32171 - Bluescape Reina  Condo",01/21/2023,32171,"Robin Ma - ",11/22/2022
TOR,11034,63288,"32170 - Multiplex The Quay",12/31/2022,32170,"Robin Ma - ",11/22/2022
TOR,12292,1822,"32169 - TCHC – Common Area Accessibili",01/21/2023,32169,"Carm Mancini - ",11/22/2022
TOR,10997,12040,"32168 - TCHC – Common Area Accessibili",01/21/2023,32168,"Carm Mancini - ",11/22/2022
TOR,12400,71540,"32167 - TCHC 341 Bloor Street West",01/21/2023,32167,"Carm Mancini - ",11/22/2022
TOR,10997,12040,"32166 - TCHC 341 Bloor Street West",01/21/2023,32166,"Carm Mancini - ",11/22/2022
TOR,10850,6361,"32164 - Toromont Manufacturing Plant –",01/21/2023,32164,"Elizabeth Livingston - ",11/22/2022
TOR,11032,76282,"32163 - Bill Gosling - Barrie",01/21/2023,32163,"Arch Rep. N/A - ",11/22/2022
