"Item ID","Unit Qty",UOM,Unit_Price,Quote_Number,"Sort ID",Note,approve_date
ST25888N,1.00,SF,5.99,32087,1,"Qty TBD",11/07/2022
A000,1.00,SF,8.31,32087,2,"Roppe #995 Hammered Design 20x20",11/07/2022
A000,1.00,LF,25.21,32087,3,"Roppe #95 Hammered tread with riser solid colors",11/07/2022
4EX510,1.00,EA,170.46,32087,4,"coverage 640sqft/pail",11/07/2022
ST25888N,1.00,SF,5.99,32086,1,"Qty TBD",11/07/2022
A000,1.00,SF,8.31,32086,2,"Roppe #995 Hammered Design 20x20",11/07/2022
A000,1.00,LF,25.21,32086,3,"Roppe #95 Hammered tread with riser solid colors",11/07/2022
4EX510,1.00,EA,170.46,32086,4,"coverage 640sqft/pail",11/07/2022
RR0424,1200.00,SF,6.59,32084,1,TL-1,11/07/2022
A000,1.00,SF,11.99,32084,2,"TL-2 - Mirage 120x278x6mm Norr Melk Nat",11/07/2022
RR0424,1200.00,SF,6.59,32083,1,TL-1,11/07/2022
RR0424,1200.00,SF,6.59,32083,2,TL-1,11/07/2022
A000,1.00,SF,11.99,32083,3,"TL-2 - Mirage 120x278x6mm Norr Melk Nat",11/07/2022
A000,1.00,SF,11.99,32083,4,"TL-2 - Mirage 120x278x6mm Norr Melk Nat",11/07/2022
