Company,Customer,Contact,"Job Name","Quote Expire Date",Quote_Number,Note,approve_date
TOR,11040,2608,"29963 - Grant Thortan - LLP - Peterborou",11/19/2022,29963,"Arch Rep. N/A - ",09/20/2022
TOR,10987,69855,"29962 - College Boreal Casegoods Warehou",11/19/2022,29962,"Robin Ma - ",09/20/2022
TOR,11034,63288,"29961 - Tridel Aqualuna Bayside",11/19/2022,29961,"Arch Rep. N/A - ",09/20/2022
TOR,11003,47325,"29960 - Amica -Balmoral - Revitalization",11/19/2022,29960,"Marina Macri - ",09/20/2022
TOR,11034,67138,"29959 - Sienna Cedarvale Keswick",11/19/2022,29959,"Arch Rep. N/A - ",09/20/2022
TOR,11034,76224,"29958 - Distrikt Developments",11/19/2022,29958,"Arch Rep. N/A - ",09/20/2022
TOR,11001,79191,"29957 - Peterborough Fire Station # 2",11/19/2022,29957,"Arch Rep. N/A - ",09/20/2022
TOR,15581,80071,"29956 - Grant Thortan - LLP - Peterborou",11/19/2022,29956,"Arch Rep. N/A - ",09/20/2022
TOR,12491,75700,"29955 - Grant Thortan - LLP - Peterborou",11/19/2022,29955,"Anthony D'Alfonso - ",09/20/2022
TOR,11013,90036,"29954 - Evertrust Upper Vista Welland",11/19/2022,29954,"Robin Ma - ",09/20/2022
TOR,28376,60563,"29953 - Bhambra Residence 1100 Dundas",11/19/2022,29953,"Anthony D'Alfonso - ",09/20/2022
TOR,10063,66187,"29952 - Astoria Retirement Residence",11/19/2022,29952,"Arch Rep. N/A - ",09/20/2022
