"Item ID","Unit Qty",UOM,Unit_Price,Quote_Number,"Sort ID",Note,approve_date
GC012448N,1.00,SF,6.94,32526,1,"Qty TBD",03/22/2023
GC012448N,1.00,SF,6.94,32526,2,"Qty TBD",03/22/2023
GC011224,1.00,SF,4.61,32526,3,"Qty TBD",03/22/2023
GC011224,1.00,SF,4.61,32526,4,"Qty TBD",03/22/2023
A000,1.00,PC,83.03,32526,5,"Gradino G 12x24: $83.03/pc (7 pcs/ctn, made to order, sold in full cartons)",03/22/2023
A000,1.00,PC,83.03,32526,6,"Gradino G 12x24: $83.03/pc (7 pcs/ctn, made to order, sold in full cartons)",03/22/2023
A000,1739.00,SF,4.63,32525,1,"Casalgrande Meteor Padana  - 12x24 & 12x12 9mm (Grafite, Noce) Matt finish",03/22/2023
A000,1739.00,SF,4.63,32525,2,"Casalgrande Meteor Padana  - 12x24 & 12x12 9mm (Grafite, Noce) Matt finish",03/22/2023
A000,1.00,PC,2.89,32525,3,"Casalgrande Meteor Padana  - 4x12 Bullnose - Color TBD - Quantity: 181 Lft",03/22/2023
A000,1.00,PC,2.89,32525,4,"Casalgrande Meteor Padana  - 4x12 Bullnose - Color TBD - Quantity: 181 Lft",03/22/2023
A000,1739.00,SF,4.22,32525,5,"Casalgrande Meteor Padana  - 12x24 & 12x12 9mm (Almond, beige, bianco, grigio, nero, perla brown) Matt finish",03/22/2023
A000,1739.00,SF,4.22,32525,6,"Casalgrande Meteor Padana  - 12x24 & 12x12 9mm (Almond, beige, bianco, grigio, nero, perla brown) Matt finish",03/22/2023
A000,1.00,SF,2.32,32524,1,"Vitra Dotti Dark Gray 305 x 305 - approx 500-1000 sq. ft.",03/22/2023
A000,1.00,CTN,108.00,32523,1,"Roppe 4X120ft Pinnacle Rubber Cove - Color TBD - Roll 120Ft",03/21/2023
A000,1.00,CTN,108.00,32523,2,"Roppe 4X120ft Pinnacle Rubber Cove - Color TBD - Roll 120Ft",03/21/2023
VM360R,1.00,SF,5.59,32523,3,,03/21/2023
VM360R,1.00,SF,5.59,32523,4,,03/21/2023
TA650927F25,1.00,EA,23.00,32523,5,,03/21/2023
TA650927F25,1.00,EA,23.00,32523,6,,03/21/2023
VMB600R,1.00,PC,14.19,32523,7,"Coem 3 1/2"" x24"" Valmalenco Battiscopa - Special Order - Minimum 8 Weeks ETA",03/21/2023
VMB600R,1.00,PC,14.19,32523,8,"Coem 3 1/2"" x24"" Valmalenco Battiscopa - Special Order - Minimum 8 Weeks ETA",03/21/2023
NH6306,1.00,SF,4.59,32523,9,"Qty TBD",03/21/2023
NH6306,1.00,SF,4.59,32523,10,"Qty TBD",03/21/2023
VM603R,1.00,SF,5.29,32523,11,,03/21/2023
VM603R,1.00,SF,5.29,32523,12,,03/21/2023
BI367R,1.00,SF,4.89,32523,13,,03/21/2023
BI367R,1.00,SF,4.89,32523,14,,03/21/2023
LAR25847,1.00,SF,5.89,32523,15,"Qty TBD",03/21/2023
LAR25847,1.00,SF,5.89,32523,16,"Qty TBD",03/21/2023
5292,1.00,SF,7.79,32523,17,"Qty TBD",03/21/2023
5292,1.00,SF,7.79,32523,18,"Qty TBD",03/21/2023
HEWHITEN,1.00,PC,11.19,32523,19,"Qty TBD",03/21/2023
HEWHITEN,1.00,PC,11.19,32523,20,"Qty TBD",03/21/2023
A000,1.00,CTN,108.00,32522,1,"Roppe 4X120ft Pinnacle Rubber Cove - Color TBD - Roll 120Ft",03/21/2023
VM360R,1.00,SF,5.59,32522,2,,03/21/2023
TA650927F25,1.00,EA,23.00,32522,3,,03/21/2023
VMB600R,1.00,PC,14.19,32522,4,"Coem 3 1/2"" x24"" Valmalenco Battiscopa - Special Order - Minimum 8 Weeks ETA",03/21/2023
NH6306,1.00,SF,4.59,32522,5,"Qty TBD",03/21/2023
VM603R,1.00,SF,5.29,32522,6,,03/21/2023
BI367R,1.00,SF,4.89,32522,7,,03/21/2023
LAR25847,1.00,SF,5.89,32522,8,"Qty TBD",03/21/2023
