Company,Customer,Contact,"Job Name","Quote Expire Date",Quote_Number,Note,approve_date
TOR,14441,90922,"32220 - Westin Harbour Castle South Towe",01/31/2023,32220,"Robin Ma - ",12/06/2022
TOR,12400,71540,"32219 - TCHC – Common Area Accessibili",02/04/2023,32219,"Carm Mancini - ",12/06/2022
TOR,10981,72273,"32218 - McMaster Innovation Park",02/04/2023,32218,"Anthony D'Alfonso - ",12/06/2022
TOR,10693,69215,"32217 - St. Leonard Catholic School",02/04/2023,32217,"Elizabeth Livingston - ",12/06/2022
TOR,12441,47812,"32216 - St. Leonard Catholic School",02/04/2023,32216,"Elizabeth Livingston - ",12/06/2022
TOR,11014,90914,"32214 - Tribute UC Tower",02/04/2023,32214,"Mattia Di Pietro - ",12/06/2022
TOR,11034,63288,"32213 - Tribute UC Tower",02/04/2023,32213,"Mattia Di Pietro - ",12/06/2022
TOR,11001,79191,"32211 - New Fire Station 125 Constructio",02/04/2023,32211,"Elizabeth Livingston - ",12/06/2022
TOR,11623,90381,"32210 - New Fire Station 125 Constructio",02/04/2023,32210,"Elizabeth Livingston - ",12/06/2022
TOR,10842,81852,"32209 - Oben Flats - 2280 Eglinton Ave W",02/04/2023,32209,"Elizabeth Livingston - ",12/06/2022
TOR,12441,67771,"32207 - WFCU Credit Union - Kitchener",02/04/2023,32207,"Arch Rep. N/A - ",12/06/2022
TOR,12339,38636,"32206 - WFCU Credit Union - Kitchener",02/04/2023,32206,"Anthony D'Alfonso - ",12/06/2022
TOR,29423,73206,"32205 - Volkswagen - National Spec",02/04/2023,32205,"Kris George - ",12/06/2022
