"Item ID","Unit Qty",UOM,Unit_Price,Quote_Number,"Sort ID",Note,approve_date
A000,1.00,SF,3.63,29703,1,"URBANCRETE 11.7""X23.4"" - Color TBD",07/18/2022
A000,1.00,SF,3.63,29703,2,"URBANCRETE 11.7""X23.4"" - Color TBD",07/18/2022
A000,1.00,SF,5.18,29703,3,"METRO POLISHED RED 2.81""X5.21""",07/18/2022
A000,1.00,SF,5.18,29703,4,"METRO POLISHED RED 2.81""X5.21""",07/18/2022
A000,1.00,SF,4.94,29703,5,"METRO MATTE WHITE 2.81""X5.81"" SPECIAL ORDER ME12739NN",07/18/2022
A000,1.00,SF,4.94,29703,6,"METRO MATTE WHITE 2.81""X5.81"" SPECIAL ORDER ME12739NN",07/18/2022
A000,1.00,CTN,108.00,29702,1,"Roppe 4X120ft Pinnacle Rubber Cove - Color TBD - Roll 120Ft",07/18/2022
VM360R,1.00,SF,5.29,29702,2,,07/18/2022
TA650927F25,1.00,EA,23.00,29702,3,,07/18/2022
VMB600R,1.00,PC,13.49,29702,4,"Coem 3 1/2"" x24"" Valmalenco Battiscopa - Special Order - Minimum 8 Weeks ETA",07/18/2022
NH6306,1.00,SF,4.59,29702,5,"Qty TBD",07/18/2022
VM603R,1.00,SF,5.29,29702,6,,07/18/2022
BI367R,1.00,SF,4.59,29702,7,,07/18/2022
LAR25847,1.00,SF,5.89,29702,8,"Qty TBD",07/18/2022
5292,1.00,SF,7.79,29702,9,"Qty TBD",07/18/2022
JW02P1224,1.00,SF,9.99,29702,10,"Qty TBD",07/18/2022
A000,300.00,SF,4.06,29700,1,"Avenue Graphite 12x24 (GMR98M1224 is disco replaced with Avenue)",07/18/2022
LOFCL3,280.00,SF,3.79,29700,2,,07/18/2022
VINDEC4,160.00,SF,4.38,29698,1,,07/18/2022
1W6A3089,420.00,SF,13.58,29698,2,,07/18/2022
AR24468N,120.00,SF,5.83,29698,3,,07/18/2022
