"Item ID","Unit Qty",UOM,Unit_Price,Quote_Number,"Sort ID",Note,approve_date
A000,460.00,SF,4.90,32224,1,"Mirage 12X24 Glocal Natural - Color TBD - TL-1",12/07/2022
A000,80.00,SF,2.75,32224,2,"Rainbow 4x16 Mat -  White (Rainbow replaces Urban max)  TL-3",12/07/2022
A000,80.00,SF,3.19,32224,3,"Rainbow 4x16 Mat - Grey (Rainbow replaces Urban max)  TL-4",12/07/2022
ESCARTA48,50.00,SF,20.28,32224,4,TL-2,12/07/2022
A000,460.00,SF,4.90,32223,1,"Mirage 12X24 Glocal Natural - Color TBD - TL-1",12/07/2022
A000,80.00,SF,2.75,32223,2,"Rainbow 4x16 Mat -  White (Rainbow replaces Urban max)  TL-3",12/07/2022
A000,80.00,SF,3.19,32223,3,"Rainbow 4x16 Mat - Grey (Rainbow replaces Urban max)  TL-4",12/07/2022
ESCARTA48,50.00,SF,20.28,32223,4,TL-2,12/07/2022
