"Item ID","Unit Qty",UOM,Unit_Price,Quote_Number,"Sort ID",Note,approve_date
LY051224,150.00,SF,4.72,33167,1,,10/30/2023
LY051224,150.00,SF,4.72,33167,2,,10/30/2023
LY051224,150.00,SF,4.72,33167,3,,10/30/2023
LY051224,150.00,SF,4.72,33167,4,,10/30/2023
FL416SPM,90.00,SF,3.96,33167,5,,10/30/2023
FL416SPM,90.00,SF,3.96,33167,6,,10/30/2023
FL416SPM,90.00,SF,3.96,33167,7,,10/30/2023
FL416SPM,90.00,SF,3.96,33167,8,,10/30/2023
FL416WM,220.00,SF,2.65,33167,9,,10/30/2023
FL416WM,220.00,SF,2.65,33167,10,,10/30/2023
FL416WM,220.00,SF,2.65,33167,11,,10/30/2023
FL416WM,220.00,SF,2.65,33167,12,,10/30/2023
A000,136.00,SF,5.85,33165,1,"T4A - Lithos stone 12x24 (8 pcs/ctn)
",10/30/2023
A000,900.00,SF,5.86,33165,2,"T4 - Lithos stone 24x24 (8 pcs/ctn)",10/30/2023
A000,624.00,SF,6.85,33165,3,"T9 - Advantage chalk (2 pcs/ctn) 24x48
",10/30/2023
A000,108.00,SF,5.32,33165,4,"2A - Tune snow 12x24 (7 pcs/ctn)
",10/30/2023
A000,1.00,SF,7.08,33165,5,"2B - Tune snow 24x48 (special order) (2 pcs/ctn)",10/30/2023
A000,128.00,SF,11.84,33165,6,"17A - Prexious Dream Arabesque Matte 6mm - 120x240cm (special order) 
",10/30/2023
A000,512.00,SF,12.84,33165,7,"T18 - Les origins argent matte 6mm - 120x240cm (special order)
",10/30/2023
LY051224,150.00,SF,4.72,33164,1,,10/30/2023
FL416SPM,90.00,SF,3.96,33164,2,,10/30/2023
FL416WM,220.00,SF,2.65,33164,3,,10/30/2023
A000,1.00,CTN,108.00,33163,1,"Roppe 4X120ft Pinnacle Rubber Cove - Color TBD - Roll 120Ft",10/30/2023
A000,1.00,CTN,108.00,33163,2,"Roppe 4X120ft Pinnacle Rubber Cove - Color TBD - Roll 120Ft",10/30/2023
VM360R,1.00,SF,5.59,33163,3,,10/30/2023
VM360R,1.00,SF,5.59,33163,4,,10/30/2023
TA650927F25,1.00,EA,23.00,33163,5,,10/30/2023
TA650927F25,1.00,EA,23.00,33163,6,,10/30/2023
VMB600R,1.00,PC,14.19,33163,7,"Coem 3 1/2"" x24"" Valmalenco Battiscopa - Special Order - Minimum 8 Weeks ETA",10/30/2023
VMB600R,1.00,PC,14.19,33163,8,"Coem 3 1/2"" x24"" Valmalenco Battiscopa - Special Order - Minimum 8 Weeks ETA",10/30/2023
NH6306,1.00,SF,4.59,33163,9,"Qty TBD",10/30/2023
NH6306,1.00,SF,4.59,33163,10,"Qty TBD",10/30/2023
VM603R,1.00,SF,5.29,33163,11,,10/30/2023
VM603R,1.00,SF,5.29,33163,12,,10/30/2023
BI367R,1.00,SF,4.89,33163,13,,10/30/2023
BI367R,1.00,SF,4.89,33163,14,,10/30/2023
LAR25847,1.00,SF,5.89,33163,15,"Qty TBD",10/30/2023
LAR25847,1.00,SF,5.89,33163,16,"Qty TBD",10/30/2023
5292,1.00,SF,7.79,33163,17,"Qty TBD",10/30/2023
5292,1.00,SF,7.79,33163,18,"Qty TBD",10/30/2023
HEWHITEN,1.00,PC,11.19,33163,19,"Qty TBD",10/30/2023
HEWHITEN,1.00,PC,11.19,33163,20,"Qty TBD",10/30/2023
