"Item ID","Unit Qty",UOM,Unit_Price,Quote_Number,"Sort ID",Note,approve_date
ENCAWHDEL,760.00,SF,9.77,33087,1,,10/10/2023
ENCAWHDEL,760.00,SF,9.77,33087,2,,10/10/2023
FL416WM,1000.00,SF,1.81,33085,1,,10/10/2023
A000,300.00,SF,3.73,33085,2,"K947204R Ceppostone 16”X32”",10/10/2023
FL416WM,1000.00,SF,1.81,33084,1,,10/10/2023
FL416WM,1000.00,SF,1.81,33084,2,,10/10/2023
A000,300.00,SF,3.73,33084,3,"K947204R Ceppostone 16”X32”",10/10/2023
A000,300.00,SF,3.73,33084,4,"K947204R Ceppostone 16”X32”",10/10/2023
FL416WM,1000.00,SF,1.81,33083,1,,10/10/2023
FL416WM,1000.00,SF,1.81,33083,2,,10/10/2023
A000,300.00,SF,3.73,33083,3,"K947204R Ceppostone 16”X32”",10/10/2023
A000,300.00,SF,3.73,33083,4,"K947204R Ceppostone 16”X32”",10/10/2023
FL416WM,1000.00,SF,1.81,33082,1,,10/10/2023
FL416WM,1000.00,SF,1.81,33082,2,,10/10/2023
A000,300.00,SF,3.73,33082,3,"K947204R Ceppostone 16”X32”",10/10/2023
A000,300.00,SF,3.73,33082,4,"K947204R Ceppostone 16”X32”",10/10/2023
